Unnamed: 0,reviewId,userName,userImage,review,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
83,c3c49868-2c68-45e8-a6a4-81fe5113cab1,Superfelon 87,https://play-lh.googleusercontent.com/a/AGNmyxYo3wH-CyWd5Q_UVS8Ry4t8EQz6tIp_PA3UEXm7=mo,Uninstalled after 5 minutes. Lessons were blank & I'm unable to even see what I was typing in. I've got a new S20 so it's not my hardware. Definitely TRY BEFORE YOU BUY. Glad I didn't buy pro version smh. Maybe the next person will have better luck.,1,20,,2021-12-29 19:23:18,Sorry for the inconvenience caused by this bug. We've now updated the app to fix the issue of the lessons becoming blank on some phone models.,2022-04-03 05:55:53,NEGATIVE,uninstalled 5 minutes lessons blank im unable even see typing ive got new s20 hardware definitely try buy glad didnt buy pro version smh maybe next person better luck,status quo sloth,person
99,474ff625-ca0f-41d3-b815-5ce80487d096,R VAISHNAVI,https://play-lh.googleusercontent.com/a-/ACB-R5Td09C2SZBz2FXalZPVvR8JhSZttqnIH3b7yeGu,Its a very nice app Not much ads Easy to use Good lessons and challenges 😊😊👌👍,5,0,4.6,2021-11-06 08:26:53,,,NEGATIVE,nice app much ads easy use good lessons challenges,challenges,challeng
141,c47a5298-5b11-4ff0-9045-21e10d8b0aeb,Ayush indexeus,https://play-lh.googleusercontent.com/a/AGNmyxbzywoF0YIsNiwZ7wIowBXhsQppmJRyqVZXIvUz=mo,"This is the best app for the beginners who want to learn web developement and python.Overall it's a good app for learning JS,HTML,CSS and PYTHON.But the reason for giving it 4 stars is quite simple: Firstly it doesn't have the interface of account where you can see which topics you have already learnt as you you have to check each individual lesson while studying after a long time.Secondly,there are some topics which are paid , you have to pay for the advance learning , but I'm sure it'll worth",4,32,4.6,2021-02-10 04:23:31,,,POSITIVE,best app beginners want learn web developement pythonoverall good app learning jshtmlcss pythonbut reason giving 4 stars quite simple firstly doesnt interface account see topics already learnt check individual lesson studying long timesecondlythere topics paid pay advance learning im sure itll worth,status quo sloth,account
171,af607a86-5f97-49a2-a7ee-786eabdb3c7b,Inhumanick,https://play-lh.googleusercontent.com/a-/ACB-R5QhnX0hL7BaHFU79FR3cc5X79V1DeXtHjYiGD-WfA,"I bought the pro version and am loving it so far. However, I wish there were indicators on the home screen for what lessons you've completed so you didn't have to check each individual lesson. Also, a blank page to experiment with the ideas you're learning would be nice. None of these things take away from the experience, they'd just be appreciated additions. Great app, especially for the price! You get your money's worth for sure, I'm learning a lot.",4,46,,2020-10-13 02:29:47,,,POSITIVE,bought pro version loving far however wish indicators home screen lessons youve completed didnt check individual lesson also blank page experiment ideas youre learning would nice none things take away experience theyd appreciated additions great app especially price get moneys worth sure im learning lot,boosters,special
198,0c0d4f5f-6c75-40fa-a4d2-e577ce45fa15,Matt Keneth,https://play-lh.googleusercontent.com/a/AGNmyxZrhFXNXOGMwe04-x_hRiFiIWuXMGswjUs0G2y7=mo,Ok but it should maybe free up some topics mostly for people who live in third world countries,3,0,4.6,2020-08-29 15:32:17,,,NEGATIVE,ok maybe free topics mostly people live third world countries,torture breaks,live
256,766aa6e2-e212-4928-aa91-d5582fabcc29,Nalla Vedavathi,https://play-lh.googleusercontent.com/a-/ACB-R5QKGm0c3io8MaX9DSF_dfWJBCLpv25B_rB2OPWW,It's really an amazing app. It is useful for every person who wants to learn from basics,5,0,4.6,2020-05-11 10:26:19,,,POSITIVE,really amazing app useful every person wants learn basics,status quo sloth,person
292,00977a88-5018-4ab9-827b-656dd6eff20f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,It's a very good app bit I wish it could have an little more challenge. And never forget that programing/coding is all about problem solving.,4,13,4.6,2020-03-19 18:02:06,,,POSITIVE,good app bit wish could little challenge never forget programingcoding problem solving,challenges,challeng
321,10a73257-e3cb-4402-b10c-c3c20444fde8,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Really good so far a tip would be make a customization panel so it doesnt feel like your being treated as a kid :),4,1,4.6,2019-12-10 05:10:37,,,POSITIVE,really good far tip would make customization panel doesnt feel like treated kid,status quo sloth,custom
328,ae5cd074-c904-4ef2-9f29-2948aa8c6df8,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Easy to learn and i like the extra challenges when you buy pro,5,0,4.6,2019-11-16 14:13:06,,,POSITIVE,easy learn like extra challenges buy pro,challenges,challeng
335,d224f239-e658-4067-928a-d96f98e7a58d,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,It's great! They give you a small selection of text to read then give you a coding challenge every couple of readings to test what you read. Makes it really easy to practice your coding step by step!,4,17,4.6,2019-10-31 22:46:39,,,POSITIVE,great give small selection text read give coding challenge every couple readings test read makes really easy practice coding step step,challenges,challeng
