Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,date,developerResponse,review,rating,isEdited,userName,title,sentiment,reviewId,userImage,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,standardizedReview,mentionedFeature,mentionedSynonyms
0,0,0,2020-09-07 02:47:01,"{'id': 17838789, 'body': ""Thanks so much, Is_royalty. This really means a lot.\n\nWe're working on to fix the issues and we assure you that it will be fixed soon. Thanks for letting us know this.\n\nPlease keep exploring Programming Hero and keep supporting us.\n\nThank you.\nLove from Team Programming Hero. ❤️"", 'modified': '2020-09-12T13:09:25Z'}","Im currently a student who is going to a university for a computer science degree, so I've had my fair share of different ways programming is taught. I recently had a hard time getting into my degree thanks to the change of pace COVID brought, and I was looking for a tutor originally but instead found this app. I am so glad I found it, this has saved me from paying for an expensive tutor and has improved my understanding of programming. 

There are minor bugs I have found, such as: when you get to certain points in the building of ‘your game’ sometimes you won’t be able to take an action (e.g. shoot a missile at the planet); also when you do the challenges, sometimes even if you click the correct answer it will say you clicked the wrong one and you’ll get it wrong either way. 

Overall amazing app and I would recommend this to any student or person who is trying to get into coding. I’ve spent thousands on professors that couldn’t teach what this app can.",5,False,ls_royalty,"Amazing way to teach, but some minor bugs",POSITIVE,,,,,,,im currently student going university computer science degree ive fair share different ways programming taught recently hard time getting degree thanks change pace covid brought looking tutor originally instead found app glad found saved paying expensive tutor improved understanding programming minor bugs found get certain points building game sometimes wont able take action eg shoot missile planet also challenges sometimes even click correct answer say clicked wrong one youll get wrong either way overall amazing app would recommend student person trying get coding ive spent thousands professors couldnt teach app,"challenges, status quo sloth","challeng, person"
14,14,14,2021-03-07 18:16:05,"{'id': 21684828, 'body': 'We are working on the graphics. You will get is fix on next release.\nWe are extremely sorry for the inconvenience.', 'modified': '2021-03-16T12:58:35Z'}","Invested a lot of time in the app and got pretty far into it (as a paying customer). The concepts then became harder (as expected) and the language errors along with non functionality of graphics became a hindering factor in learning. 

Emailed support multiple times to provide feedback on issues and the common response has been “we will fix it soon”.

 It has been over 3 months and the delay has prevented progress which has also resulted in forgetting previous concepts learned. 

Recommend the team scale back and fix issues on the bottom before expanding scope.",1,False,Marcus Mane,Too many Errors and graphics missing,NEGATIVE,,,,,,,invested lot time app got pretty far paying customer concepts became harder expected language errors along non functionality graphics became hindering factor learning emailed support multiple times provide feedback issues common response fix soon 3 months delay prevented progress also resulted forgetting previous concepts learned recommend team scale back fix issues bottom expanding scope,status quo sloth,custom
15,15,15,2020-09-24 16:09:58,"{'id': 18110773, 'body': ""Chix3n, we're extremely sorry for the inconvenience. We didn't fix the grammar issues as our main concern was to add value to your lives by putting out the content soon. We are working on to add more contents.\n\nAnd we ask for the gender for personalizing our contents for you based on that. And the full name is required for you to receive a proper certificate.\n\nIf you have any other queries, please mail us at support@programming-hero.com and we'll be more than happy to assist you.\n\nGrandma beat us yesterday. Nobody loves us. Please show us some love by giving 5 stars.\n\nLove from Team Programming Hero. ❤️"", 'modified': '2020-09-26T06:44:48Z'}","Honestly love it, I was looking into a programming future, and as a kid, this app really helped me. The grammar in the app itself isnt checked well. Also, in some moments they ask for personal info like your gender, or your full name.",4,False,Chix3n,Pretty fun learning experience,POSITIVE,,,,,,,honestly love looking programming future kid app really helped grammar app isnt checked well also moments ask personal info like gender full name,status quo sloth,person
46,46,46,2022-06-23 21:06:50,,I brought lifetime premium membership but it doesn’t work in my iPhone. I mailed their support but they didn’t give me solution . And also their vip member live chat not work.,1,False,sir Rouja,Lose of money. Cheater,NEGATIVE,,,,,,,brought lifetime premium membership doesnt work iphone mailed support didnt give solution also vip member live chat work,torture breaks,live
72,72,72,2023-01-25 15:59:31,,Can’t use much of the app stops working at the first crystal surprise challenge,1,False,Sokphearseth khim,Bug error,NEGATIVE,,,,,,,cant use much app stops working first crystal surprise challenge,challenges,challeng
115,115,115,2022-09-03 15:32:42,,"I Love the app it teaches me how to code and understand it but there is a glitch I noticed where when you get to type in the code, if it’s wrong it still gets it correctly and I don’t think it gives me a challenge and it makes me feel like if my seamer’s were wrong.",5,False,cocobraed,Bugs,NEGATIVE,,,,,,,love app teaches code understand glitch noticed get type code wrong still gets correctly dont think gives challenge makes feel like seamers wrong,challenges,challeng
118,118,118,2021-09-11 00:09:16,"{'id': 25754055, 'body': 'Dear user, Grandma is crying. She is worried that you had issues with our app. She wants to fix the issues as soon as possible, but she needs your help. Can you describe your issues with screen record and your device specification and send us at support@programming-hero.com? This would be really helpful to us to fix the issues for iOS users. \nWe will be waiting for you, dear! Keep programming!\nWe love you! 💖', 'modified': '2021-10-18T18:32:37Z'}","i bought the year pro sub. on my android phone and when i log into the SAME account on my ipad, i dont have pro on there. i payed 5$ for a year on android. on iOS is 9.99 a MONTH. also it crashes all the time and its really hard to navigate and use on iOS its clunky. and when you click ""Pro"" then you cant get past that screen. you cant click the X you cant even click on a pro subscription as if you wanted to buy it.. it just freezes. you have to restart the app. frustrating. its GREAT on android though.",1,False,soundcloud.com/pr4y,my android pro subscription doesnt carry to iOS/crashes,NEGATIVE,,,,,,,bought year pro sub android phone log account ipad dont pro payed 5 year android ios 999 month also crashes time really hard navigate use ios clunky click pro cant get past screen cant click x cant even click pro subscription wanted buy freezes restart app frustrating great android though,status quo sloth,account
137,137,6,2023-03-24 05:30:30,,"Excellent, Specially Thanks "" Jhanker Mahbub""",5,,Shourav H. Millat,,POSITIVE,0db8b062-150f-48e4-95d2-74df5d569b3d,https://play-lh.googleusercontent.com/a-/ACB-R5RBzG-DYkLo8e8eQ44jMbK6WZq0BwjpBE_pUB1GtA,0.0,1.4.70,,,excellent specially thanks jhanker mahbub,boosters,special
180,180,49,2023-03-15 10:39:11,,"Its the worst app i have ever used At the begining I was so impressed by the app, way of teaching but when i was about to get my certificate it stopped working. This is really not fair i wasted my time in completing the challenges and levels but in the end it stopped working.",1,,Vashu Nehra,,NEGATIVE,8714a7f0-ccdf-4857-a6d3-563abd3f194c,https://play-lh.googleusercontent.com/a-/ACB-R5TstUyYRReAKhR4PO1nNWQeWEMcUfc6T0NT-4-ChA,7.0,1.4.69,"Dear Vashu, our developer didn't sleep the last few days to solve this issue. They drank 93 litres of caffeine already. The bugs are naughty and strong this time. We aren't giving up.
Keep exploring Programming Hero and stay tuned for Android with Kotlin course coming in next month.
We'll eat the bug by then.
We love you, Vashu! ❤",2023-03-20 08:31:32,worst app ever used begining impressed app way teaching get certificate stopped working really fair wasted time completing challenges levels end stopped working,challenges,challeng
191,191,60,2023-03-12 04:01:50,,this is amazing app for any programming language specially for python. u must download it,5,,Nitro,,POSITIVE,27f2f2cf-99d7-4181-8226-b469646136b4,https://play-lh.googleusercontent.com/a-/ACB-R5Rz2UzNRKGBv49oqT-Ra7BCz31WZO72rpsZ7m8rkw,0.0,1.4.69,,,amazing app programming language specially python u must download,boosters,special
