Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_feature
4071,17d03f12-b2e9-40bf-bdfd-7d58b245b38c,Dinesh Kuddana,https://play-lh.googleusercontent.com/a-/ACB-R5QgDttH1JiIU3Vi50B7_-Src4GcwwygJIBSQT4o,"Good platform to learn programming languages.... I am very interested in this app... Challenges, weekly challenges,code challenges are very excited... Thanks for sololearn app for providing such a great information",5,0,4.26.0,2022-10-01 01:23:19,,,POSITIVE,Challenges
15431,3511a9d7-5042-403d-9ea5-75a44d26fec0,Gowsaljan Vimalaratnam,https://play-lh.googleusercontent.com/a-/ACB-R5T0nreLc5IyScJVls2l8yMfTiKo7SnanIXkbQBQQg,"I experienced many code learning app, those are not bad , but I can't use those to study regularly. Because it's boring. But actually speaking, this ""SOLOLEARN app"" is super easy to learn and encourage me to study. Especially Levels, Leaderboards and Challenges. Totally this app is Amazing. Finally, my kindly request is if daily goal reminder system will upgraded that's amazing. Thanks Sololearn Team, thanks for the wonderful app.",5,51,4.8.4,2021-08-28 17:58:50,,,POSITIVE,Challenges
18535,f515a8e1-f6bd-43d2-90e8-e104d11ba805,Yasin Issa Aden,https://play-lh.googleusercontent.com/a-/ACB-R5QIYMXjylFoMU28418mjUOM2EQ4XMgiOL4_Oc_KWg,"Challenges are a joke, they test your math not programming",3,0,2.3.1,2021-04-01 11:46:30,,,NEGATIVE,Challenges
19486,6abcc63b-4832-48af-ab5f-453e75468e2f,Shraddha Gupta,https://play-lh.googleusercontent.com/a-/ACB-R5SY7584hcuqYWYtm1-ACGp_cOPyZ9-dlA9V0fNG9Q,Very useful. Easy to use. Knowledgeable Challenges are very intresting Time consuming,4,2,4.2.3,2021-02-13 03:01:38,,,POSITIVE,Challenges
19539,b1027531-3499-4039-be28-bea1faa0b544,Milos Resnik,https://play-lh.googleusercontent.com/a/AGNmyxbW8kgIF7LC2DjR9Dcq8R-8c1nv8kpESkWSY1kE=mo,"Ads are not as big a problem as people harp on. What is the problem is that the courses are pretty shallow. Personally haven't had much use out of them. Challenges are fun but many end up unresponded and you get no xp for them. Challenge questions aren't properly moderated, the number of wrong answers is quite appaling. Hope reporting has an effect, wouldn't count on it. Code challenges are tedious to type on phones, but can't be done on pc. All in all it's fine, more of a practise tool.",3,53,4.2.2,2021-02-10 22:02:51,,,NEGATIVE,Challenges
22660,1280efe8-0143-4790-b17e-a13716c3c665,Michael Vlach,https://play-lh.googleusercontent.com/a-/ACB-R5SOts-atDGI1qsxaEVvDJmYANIPdUck9IaRh3eowQ,Lessons are great. Challenges are great concept but the questions in them are very poor. Garbage nonsensical code...,3,0,,2020-10-11 06:56:31,,,NEGATIVE,Challenges
23443,57d548cd-1bbf-4bcf-a76d-0b6455fbc92f,Harold garibello,https://play-lh.googleusercontent.com/a-/ACB-R5TU7WX6V9oUdlglQtkLUV3W2vIAPGQfZz2EuVN_,"It is an excellent app to learn code i enjoy s much , My recomendation is improve the section of Challenges for example with more complex exercises",5,0,3.5.0,2020-09-21 20:54:43,,,POSITIVE,Challenges
24047,bd4a16b3-3a54-4b7a-88ac-78227dfda4bb,Ehtesham ali,https://play-lh.googleusercontent.com/a/AGNmyxbbCGTieECOj1jR5_0M0aZwg3yDJtdBPAVGLr-g=mo,"Sololearn is great but it requires following 1.Clean and better place e.g there are many posts with many answers and they are of no use they should be deleted. 2.Challenges for beginners they also deserve them. 3.Ranking should be revised or improved because this ranking is only highlighting challenger's efforts there must be ranking for coders,contributers,learners and others.This will motivate them.. 4.More Practice e.g you can ask users to create a table with different styles and functions. 5.And Sololearn itself should keep asking from its users about what they want sololearn to be. Suggestion:Sololearn should think and act more for its users.",4,0,3.1.1,2020-09-09 10:25:37,"Thanks for your feedback. 
We continuously improve our features and content, listen to the voice  of our community and value every piece of feedback we get.  We always  love to hear your opinion on how to make SoloLearn a better place for coders!",2018-09-19 03:30:45,NEGATIVE,Challenges
26291,db4f48e8-8a6a-44e7-9142-1c77ae37cac1,Enri Ndoni,https://play-lh.googleusercontent.com/a-/ACB-R5ScN1_zpD6C0TW0YehzorMJmtGz_4wMu89eOMEH,"Nice learning program. It is smooth in learning experience, tips, exercises etc. One of the main points I like is challenges that unfortunately are (in my oppinion) full of ""bugs"" 😜 Challenges do not keep track of the lessons you have completed and can ask you anything in the course eventhough that thing is explained much further down the course curricula. Challenges questions sometimes require a lot of math (not hard but too many additions and other simple math). Still I would recomend the app",3,2,3.4.5,2020-07-22 18:42:22,,,POSITIVE,Challenges
26928,303d1a29-72c3-4f82-998c-025a7b382994,Allen Nelson,https://play-lh.googleusercontent.com/a/AGNmyxYXEshB0gxcZf2xNqWMkVVZuIV3TUwrFNck1r2q=mo,"The difficulty level in tutorials could cover each topic starting from the easy level that it does to something harder. It doesn't really prepare me for the ""Challenges,"" a type of exercise for which I have to wait. Also, if you're struggling with limited system resources, try uninstalling the largest apps. Also, it should be not possible to guess the answer by matching the length of the answer with the length of the slot in the question.",5,477,3.4.3,2020-07-08 17:56:11,,,NEGATIVE,Challenges
