Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_python,matched_stem
1827,fc687f13-2a30-45ec-8810-03da34c19197,Lev D,https://play-lh.googleusercontent.com/a-/ACB-R5RtTkWtNCiKpJpikNoFa2twjEBikO69lUbL2REuaQ,"Installed the app to refresh SQL knowledge. I was about to abandon the app when I had to choose between web development and python. Luckily, at last I found the course I needed. Having finished the course, I find it pretty boring, with too simple tasks that didn't really reinforce knowledge. Especially it was inconvenient to type commands on the phone keyboard. + No free certificates :( On the good side, the gamification engine with streaks and leaderboards seemed engaging.",3,73,3.111,2023-01-15 16:05:39,"Hi there, thank you for the feedback. We also have a web version now for people who prefer to type the codes instead of studying on their phone. We already keep all our content for free so a few things are available for Pro users only such as certificates!",2023-02-09 08:40:47,NEGATIVE,python,"streak, leaderboard"
2333,d14054fb-c609-40ea-b6c6-63e3e689f1f0,waffle master,https://play-lh.googleusercontent.com/a-/ACB-R5TV7dYnuLOQMrjBsGxec3_6vgkqZZ18PQUPvt69,"The app is good and I learned python from it. I'm giving it 3 stars because when I run out of hearts, I can't do any more lessons for 3 hours. I can't even practice to get the hearts back. So that's why I lost my hard earned 82 day streak. The app also crashes when you run out of hearts. I would love if you can fix this, that the app will be amazing!",3,0,,2022-12-21 15:14:45,,,NEGATIVE,python,streak
2391,35a23eb6-a8ca-469f-9122-09cb246a574e,Jakub M,https://play-lh.googleusercontent.com/a-/ACB-R5Rv_MpMCibAd2sOwHWH0JAiyA8ThwYH7ifuP9fp,Overall great app but glitched af can't progress in python lessons becuse everytime i finish one lesson it does not count it even tho i finished it im getting 0Xp for it and can't progress to next lesson please fix as soon possible couse is unplayable right now.,3,0,3.107,2022-12-18 04:13:00,,,NEGATIVE,python,progress
8772,c82ed61c-42df-4449-a9b2-82cc4580a00b,Hammoudi Sh,https://play-lh.googleusercontent.com/a-/ACB-R5QcKTdk0hKWEXLJFG-mWUhDesm-Mf_SUVCXVIlIWg,"THIS IS THE PERFECT APP I NEEDED! i tried programming hero and programming hub and some other apps, but no one worked with me. BUT I CANNOT BELIEVE IM FINALLY KNOWING HOW TO CODE BECAUSE OF THIS! Thanks you so much for this amazing app. Edit: this app was really amazing until the new update where i lost all my progress. Im not a professional python programmer but i still have more to learn. Like suddenly the app resets all the progress and now i need to start from variables.",5,2,3.83,2022-06-10 17:47:42,,,NEGATIVE,python,progress
8843,cf18e88e-e716-4daa-a93d-ab6a70bc4f90,Larry Garver,https://play-lh.googleusercontent.com/a-/ACB-R5R3nvUKd7puJGc2B8u9BceYuSx9M_CklCmSwSJT,Love this app! Great starting point for learning python.,5,0,3.83,2022-06-08 12:08:32,,,POSITIVE,python,point
9396,f74f6123-ebc2-441c-93f9-24820739a43d,mark reilly,https://play-lh.googleusercontent.com/a-/ACB-R5SC99ETMZ3d4BXA3oh4fkHgpFUFY2DJpgDqQxJEtQ,Ok could be a few more languages even if it's pro only so far looks like html SQL python and CSS there might be more in pro but I can't account at moment as still behind pay wall its number 1 on play for a reason nice social with projects and playrooms so I give it 5 stars the pay part is so we can cloth and feed the dedicated developers im fine with that also if its hard to learn with this style of teaching simple get a note pad and make notes for future reference no time limit,5,0,3.80,2022-05-19 08:57:55,,,POSITIVE,python,social
10515,d35d134c-83a9-4c91-8e84-3ebd0f5a7111,Bob The Dog Gangster,https://play-lh.googleusercontent.com/a/AGNmyxYyCctfHAgqlehvpzIJKzs25BFTTA_bMLom8Yie=mo,I personally learned a lot of stuff like that when you want to make something strong like the word dog slaps cat you do this * dog slaps cat * and if you forget something you just swipe and It is like Duolingo but for coding as a unity user I am glad I found this now I will be using python to create a social app were you can see who whatchrd which message,5,0,3.75,2022-04-06 15:28:50,,,POSITIVE,python,social
11124,10115134-1521-432c-9cd3-391a4f835405,Opwonya Daniel,https://play-lh.googleusercontent.com/a-/ACB-R5Tzw56FqT7gdTPO8kZJMkZc3niG_rbZVRr54MEhaA,"What's up guys , it's a good application for learning programming but here is my challenging question from my side to the developers and managrment of this application ;can I also receive my certificate immediately after paying for the monthly pro version/plan? Remember that am talking about the web development part not python and SQL",4,0,3.72,2022-03-12 10:03:35,,,NEGATIVE,python,challeng
13317,8b8b3c17-b93f-4532-bbeb-9c351bbeed79,myew,https://play-lh.googleusercontent.com/a-/ACB-R5RMd9yGinIG4zF_ehr6SlxA5NMx031kA7NjHlHGZA,"I love it! It's like Duolingo but with drastically better explanations and for code. I wasn't super serious about learning python but with every new function I've learned, I've gotten more and more excited about it and have been playing on this on all of my work breaks. I can tell that A LOT of thought and careful planning went into making this app and I really really appreciate it!",5,45,3.58,2021-12-03 00:17:24,,,POSITIVE,python,break
13726,d6691582-ac5e-4d1a-ae61-7b51a1ebc29f,Zetsu Tsuletsu,https://play-lh.googleusercontent.com/a-/ACB-R5St4pKiEwDMvxWRY-2R8ozKFqFpme1kNM4nFfyZiQ,So far so good. Learning the basic of the basics of python. Will update If I'm unsatisfied with my progress.,4,3,3.55.1,2021-11-15 14:32:52,,,POSITIVE,python,progress
13938,1823c1dc-7665-4ee0-bce3-48708cea3fa8,Rahul Khare,https://play-lh.googleusercontent.com/a-/ACB-R5TSftxL5SozcE-vHjNvHHYs_JQkxLGDeQop_Rc45A,Used it to learn python. Worked fine till a little beyond intermediate. Then said I was offline even though I was not. Logged out and all my progress was lost. While teaching it was pretty good. Too bad it has a severe technical glitch. Would not recommend.,1,4,3.54,2021-11-08 05:07:46,"Yikes! We're sorry to hear you've run into an issue. To get to the bottom of the issue, please tell Johanna at support (support@getmimo.com) what exactly happened. She's great at figuring such things out.",2021-11-08 08:23:11,NEGATIVE,python,progress
14100,91859d06-bd01-42c8-9424-6e67a4fd32a3,Nasim Obeid,https://play-lh.googleusercontent.com/a-/ACB-R5SLBgFG6zlpIqAYzjLooDAUFqtmoFQgLV2q7JpfeL8,"It's a Good coding app but horrible customer service. After an update that removed half of the courses, my progess in the python track has been completely reset. I contacted customer service but they weren't very helpful retrieving my progress. They told me that I have to make sure I'm using the right account. But Im using the right account then how was I able to access premium in the first place? I just don't think they care for their users. You'll be spending $30+ annually for bad support",2,38,3.53,2021-11-02 00:11:50,,,NEGATIVE,python,progress
15072,9ccf1a42-1347-4dc7-a898-30669c75cd5f,Piyush Raghav,https://play-lh.googleusercontent.com/a-/ACB-R5SMl7MpjXoAv1G5xJxAtc_7NB9rpyN0oHtGJWruJA,Awesome app and great for learning the python language..... And the plus point is that this app also provides u the certificate. I am using the app from 2 weeks and it's awesome,5,0,,2021-10-03 03:49:37,,,POSITIVE,python,point
15175,029a0a84-9ff0-4841-8918-603560a4cde7,Grant,https://play-lh.googleusercontent.com/a-/ACB-R5SrnFduBOaUUZSskZCPwj-rUD9Rv8ARxFveyNmFFQ,"Mimo is an app that's value speaks for itself. $60 a year and a week long free trial, but they remind you when the trial ends with push notifications when the time gets close. They don't try to take your money if you forget because the app knows how to keep you coming back with stress-free, fun, competitive, and educational programming content. I'm using it to brush up on my python and learn SQL. Love Mimo.",5,48,3.49,2021-09-30 10:25:52,,,POSITIVE,python,competit
15385,7d27f451-4f23-4e24-84d8-e1d8a7e5b2e5,CuztomModz Xxx,https://play-lh.googleusercontent.com/a-/ACB-R5SaoC6V5fL0H0gSkd7jRKI448R2jOHN1KD9ZTwdqg,"I literally just downloaded this app in hopes that it would not disappoint, and so far it has not. It's very fun and simple to use and understand. I'm doing the python course and I feel I will a great grasp of the curriculum by the time my trial is over. It's a great app, it explains things very simply and clearly. I would keep it if I could pay for it😂👌🏾",5,3,3.48,2021-09-23 22:41:17,,,POSITIVE,python,point
16119,86b542f5-9f64-47e2-90bd-2a5984dced79,Lucas Rocha Ferreira,https://play-lh.googleusercontent.com/a-/ACB-R5QM0-5T_X7Kicx0ugnrnyzLO_AzQcTBRYANfmoIhw,Good introduction to python. I felt a need for more challenging exercises.,5,0,3.46.1,2021-09-03 13:44:51,,,POSITIVE,python,challeng
