Unnamed: 0,date,content,rating,isEdited,userName,title,developerResponse,sentiment,matched_python
2,2019-07-02 05:58:30,"I love it so much because it’s one of the best top language apps I installed and it matches my situation as I tell I signed up for computer programming in a couple months and this app I garantee will help in so much. Honestly everyone I know should download this app because it doesn’t just accurately teach you python it also brings you knowledge, I love how there is no pop up ads or a load of them speaking of that. And I would love to thank everyone who worked on data camp and helped me and others. Good job guys on making this wonderful game and thank you for putting you knowledge to make this experience. Lastly this is my first review I have ever written in the AppStore and I really think y’all are special. Print(‘thanks’)",5,False,Ebolenza,Thank you so much for this amazing app,,POSITIVE,python
11,2022-06-04 03:35:37,"I’ve been pretty impressed with this app. After learning the basics I was looking for an app to help me learn intermediate python. I ended up taking the beginners python since it was more comprehensive than what I used to learn python originally. The instructor videos don’t bring it to K12 level, but they certainly don’t talk over your head. They do a great job explaining tricky concepts in a way that makes it straightforward to try on your own. Would definitely recommend DataCamp - I even became a paid member. 🤙🏼😎",5,False,OhhRyan303,Accessible and Comprehensive,,POSITIVE,python
23,2020-09-14 22:15:24,"Videos and interface is very intuitive. They teach you from scratch or from any level you’re already at. A lot of courses to choose from and an active community on slack that you can collaborate with and get help from. Compared to other sites/apps like this, datacamp tends to have more practice than other places and that’s why I picked it. They’ve delivered so far and I just finished the intro to python.",5,False,raj fs,Awesome! Worth it.,,POSITIVE,python
28,2021-07-22 19:53:24,The videos/lessons are pretty similar to the computer version. Although I have noticed that lessons that I am working on are not showing up in the app and there’s no way to search for your lesson. Also when yo use etc a ‘track’ it doesn’t let you change... I clicked on the python track but I am trying to learn multiple languages so it won’t let me switch between the different tracks,3,False,Trollforlife,Good for learning hard to navigate,,NEGATIVE,python
31,2019-09-04 20:27:58,"For some reason I clicked with this app more than others. Was using sololearn for a long time but, I’ve learned a lot more about python basics through DataCamp better than any other coding app so far. The difference was the retention, the way the questions are worded, and how the information is formatted. Better all around than other apps I’ve used to learn python.",5,False,Tyler53121,Vs. other apps,,POSITIVE,python
32,2020-07-21 16:46:22,I am a PhD student in Earth and Environmental Sciences and this app was fundamental to me learning python. The beginner lessons are very well done and accessible to all! I also really appreciate the “streaks” and the daily practices. They “gamify” the daily challenges and it really helps and is fun to keep up a daily streak! Thanks so much for developing a great app. I recommend it to everyone who asks how to get started with python.,5,False,Intrepidtraveler7,The Best Way To Get Started Coding!,,POSITIVE,python
35,2020-07-09 02:07:30,"I have used a couple of other programs to learn Python and while they laid a solid base, DataCamp just jumped into the things that I was the most interested to learn (pandas, numpy, matplotlib, etc.). After going through the beginner and intermediate python and R courses, I would highly recommend this to anyone interested in learning about how to become a data scientist.",5,False,Will.I.Am4112,Great program!,,POSITIVE,python
37,2019-11-27 23:13:28,"Excellent supplemental or foundational tool to learn python for novice and intermediate level student. Really well thought out lectures and questions. Wish they could add more questions to test skills at the end to review overall content based on level to bring all the content together. Regardless, this program is top shelf!!",5,False,Msbbk110,"maximize efficiency, time, cost",,POSITIVE,python
64,2019-10-08 06:04:38,I’ve gone to a lot of apps and videos to try to learn python and this app was the easiest to use and understand for sure. It covers pretty much everything you need for basic coding and it’s free too. It really is the whole package.,5,False,Gerry Hundley,The Whole Package,,POSITIVE,python
123,2022-10-25 16:44:08,"Been trying to learn Data analyst course with R and keeps putting python and sql for ungodly known reasons instead of the current course that I’m taking.
Keyboard is slow and buggy, keeps putting in inputs I’m not selecting or typing at all.",2,False,hooterslover,"Slow keyboard, buggy",,NEGATIVE,python
