Unnamed: 0,date,developerResponse,content,rating,isEdited,userName,title,sentiment,matched_python
7,2019-12-21 18:16:17,"{'id': 12525566, 'body': 'Dear Friend,\nWe apologize that your experience with us less than satisfactory. We truly want the best for our learners. Can you provide more details about your experience so we can take note of it and make improvements on our future updates? Please reach us at Hello@prghub.com so that we can assist you better.\n-PA\n', 'modified': '2019-12-22T09:32:41Z'}","I got this to learn programming languages like python and C++. I took the fundamentals course just to check it out. I already know HTML and CSS. If I didn’t I wouldn’t have been able to figure out this course at all! It asked questions related to things it did not teach. At one point it registered my answer as incorrect even though I did not choose that answer. The text is also often grammatically incorrect, with words in the wrong order. They required me to rate the app only a minute into the course and there was no way out of it. Trying to share the certificate I earned was impossible. I got the pro version because the “for life” option seemed like a good deal and this app came highly recommended from a friend. I will not be using this app. I saw that some of these problems were described a year ago, and the developer said they would fix it. They did not. I would like to get my money back, and I certainly question my friend’s judgement now!",1,False,Quellcrist,Definitely buggy and strange,NEGATIVE,python
61,2022-03-10 12:01:22,"{'id': 28235059, 'body': 'Hey,\r\nThank you so much for taking the time to send feedback. We love to know that you are happy with us, we are always available at hello@prghub.com-PS\r\n', 'modified': '2022-03-10T12:01:22Z'}","In respect to all the python learning programs I’ve bought, this one takes time to explain material. I really like the fact that it reads out loud the lesson and not have you read everything on your own.",5,True,Bokdee,Awesome,POSITIVE,python
107,2021-05-13 23:56:34,"{'id': 22824492, 'body': 'Hola, Thank you for taking the time to provide a magical rating. Your opinion is valued greatly and it helps us to maintain the excellent standard of service. Anytime need support! - hello@prghub.com , is the address to reach out to. - AS', 'modified': '2021-05-15T20:28:32Z'}","Yeah it’s good I’m new so I don’t really know much about this but I think I am starting to get it. They have stuff for learning different kinds of things like python, ethical hacking, etc. it’s cool because it’s all free.",5,False,IHaveAnIdeaPlsSee,Ok,POSITIVE,python
121,2020-12-14 01:45:04,"{'id': 19860722, 'body': 'Hello, \n\nSeeing that you had a 5-Star experience, is the best thing we could hope for! Thank you. Your review means a lot. We look forward to serving you, for many years to come at hello@prghub.com.- AS', 'modified': '2020-12-18T18:26:34Z'}","This seems so simple I wish I would have heard of ProgramingHub sooner.

Still at it still saweet.

Just learning more at my speed no pressure

Learning C++ it is a different from python and Java so far.  Program Hub’s definition and breakdown of all the courses I have been learning are most exemplary.

Just starting Java all is good here.

Java completed this is totally mind blowing the ease of use while I am learning. SAWEET",5,False,mandude6771,ProgramingHub makes learning programming much easier than I expected.,POSITIVE,python
140,2022-02-28 13:34:50,"{'id': 28376092, 'body': 'Hey, \r\nApologize for the inconvenience caused, please reach us at hello@prghub.com, so that we can serve you better-PS', 'modified': '2022-03-04T07:57:04Z'}",This is best app to learn programming but there is a problem whenever I try to write python program it says error although I wrote right so pls do something.,5,False,SHITVIP,Awesome app👌👌👌👌👌👌👌👌,NEGATIVE,python
145,2020-01-03 05:17:57,"{'id': 12706860, 'body': ""Hi Friend!\nWe're glad that we’ve been helpful to you. It is our goal to make your learning experience truly delightful and enjoyable. Do recommend us to your friends too! :)If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!\n-PA\n"", 'modified': '2020-01-03T12:33:30Z'}",I love the approach they took with the Data Science course by going through the actual process starting with collecting and cleaning data before they go into a single line of python.,5,False,Symphony Crack Orchestra,Unique Approach,POSITIVE,python
266,2021-11-25 12:37:36,"{'id': 27054594, 'body': 'Hola, Thank you for taking the time to provide a magical rating. Your opinion is valued greatly and it helps us to maintain the excellent standard of service. Anytime need support! - hello@prghub.com , is the address to reach out to. - AS', 'modified': '2021-12-26T12:08:28Z'}",I started using python to automate scripts and reports. This a huge help for me as I never learned the basics,5,False,chrismclare,Loving it!,POSITIVE,python
383,2021-09-12 14:26:52,"{'id': 25189509, 'body': 'Hello, Seeing that you had a 5-Star experience, is the best thing we could hope for! Thank you. Your review means a lot. We look forward to serving you, for many years to come at hello@prghub.com.- AS', 'modified': '2021-09-19T11:41:56Z'}",I like to learn python and this app helps me to learn easily.,5,False,143kiklulu,Awesome for beginners,POSITIVE,python
436,2021-03-19 01:22:29,"{'id': 21772718, 'body': 'Hola, \n\nThank you for taking the time to provide a magical rating. Your opinion is valued greatly and it helps us to maintain the excellent standard of service. Anytime need support! - hello@prghub.com , is the address to reach out to. - AS', 'modified': '2021-03-20T16:59:10Z'}",I love this app great for beginners who don’t know how to use python 🐍.,5,False,rolandjoec,Great App 🌟,POSITIVE,python
444,2020-04-20 15:14:03,"{'id': 14792490, 'body': ""Hi Friend!\nMany thanks for your awesome review! We're glad to know that our method of teaching has made it easy for you to learn programming. Do recommend us to your friends too! If you need help with anything, please don't hesitate to contact us at hello@prghub.com and we'll be very happy to help you out.\n-PA\n"", 'modified': '2020-04-20T18:12:58Z'}",Love this app learning python is easy!,5,False,tkschultz,Easy to learn!,POSITIVE,python
455,2020-03-02 13:57:10,"{'id': 13912421, 'body': ""Dear Friend,\nWe're glad that you're having a great time with us. Every little encouragement helps us continuously improve :) So, if you like our app, please consider increasing your rating for us. If you have any suggestions, please let us know at Hello@prghub.com. We'll be very very happy to hear from you!\n-PA\n"", 'modified': '2020-03-07T17:56:19Z'}","Hi

It is really a fun way to learn python because you can control the speed of the lessons. You click continue after you fully understand the stuff. The MCQs help the learner to reinforce his understanding and memory.

Regards
Lim",4,False,bengpok,A fun way to learn python,POSITIVE,python
