Unnamed: 0,date,content,rating,isEdited,title,userName,sentiment,matched_stem
7,2022-03-05 13:37:19,"There are some major issues, almost 50% of the review questions in HTML have major bugs that make them unusable. Major bugs:
1)Review question text not populating correctly — literally says BLANKBLANKBLANK
2)Review question answer fields not formatting correctly — multiple copies of answer fields appear
3)Review question answer fields not populating correctly after pressing desired answer — answers frequently do not populate the answer fields 
4)No lesson structure or save state — every time you come to the app you are just getting random flash cards of information, there is no structured progression. Additionally, you cannot return to the same point, even in your practice set. If you close the app to look up information, you cannot return to the same problem to try to solve it",2,False,App does not work,cstevey1,NEGATIVE,"progress, point"
14,2020-04-27 16:49:37,"I have been on and off of Codecademy since the start of 2015. I have watched as the price of the course work goes up. Along with the increasingly improving coursework and resources the site provides. I would give the app a 5 star for those reasons. However I was very disappointed to load up the mobile app to find it does not have iPad support.

The app has that generic option of making the screen larger to fit the screen size. However it does not allow landscape mode which makes having a keyboard useless. 

I would love to see an iPad friendly version of this app so I can work on the go with a keyboard vs my thumbs on a phone.",2,False,This would be a 5 star if...,iPad 2 all the way,NEGATIVE,point
25,2021-06-18 21:48:09,"In regards to the HTML review and practice:

The content repeats itself, in no particular order- there’s no progression or gradual knowledge building. You can’t see what you’re actually coding, and there seems to be many errors in the questions asked and the given answers to submit… many more issues and annoyances like the seemingly random colors added into texts, but I digress. 

This is definitely not an app for you, if you’re a beginner, trying to learn the basics.",2,False,There are much better apps for learning,MsContrarian,NEGATIVE,progress
26,2019-06-21 14:44:24,"The app itself is a great learning tool to keep your mind sharp on subjects you already know, as far as trying to grasp new information it seems almost like reviewing flash cards. A. You learn something. But B. You see it over & over again. The material is very repetitive, i usually go under HTML & it’s nothing new nor difficult, if you can introduce more difficult problems or better questions. That would make it more challenging & engaging.",3,False,Concept is Good but.... The Material lacks.,Hihahajananakens,NEGATIVE,challeng
28,2019-01-17 14:25:31,"I’m very pleased with my Pro membership online, but this app is a disappointment. I thought it would be a teaching app, but actually it is only for review — each session presents a few (five or so) random concepts, in no particular order, then quizzes you on them. 

There’s no back-catalogue or list of lessons to access, as I had expected. Which means you have no control over what concepts are being thrown at you in each session. Like I said, it’s completely random. 

So, if you already know your stuff, it’s a fun way to prove to yourself that you’ve got skillz — but if you’re trying to learn a new language or set of skills, you will quickly find yourself under water. 

I’m going back to my ‘puter for learning JavaScript. There’s simply no way in this app to learn it (or anything else) from scratch. 

A disappointment, for sure. I expected better of you, CodecAcademy!",1,False,Not what I expected (buyer beware!),cyngibson,NEGATIVE,point
29,2022-03-27 23:04:19,"I’m a little disappointed with the way the app behaves on iPadOS. It seems this app is designed for the iPhone with the iPads features give an after thought. I’m not sure why it behaves as if there isn’t a landscape mode. Even when I place iPad in portrait position this app doesn’t use all of the real estate. Just frustrating and as mature this platform is there’s really no excuse. As it stands this app makes it harder to use. 

Please fix so we can work effectively.",2,False,Not bad but not truly an iPad app,ProbablySo,NEGATIVE,point
37,2023-01-01 17:53:20,"The website and the membership is well worth the costs. I absolutely using the web version of Codecademy. Why don’t you have an iPad friendly app utilizing the full screen capabilities  of the iPad for mobile learning, having it scale up and keeping it within the ratios of an iPhone is disappointing seeing as you even teach swift as a language. Please develop an iPad version of this app.

Thank you",2,False,Not iPad friendly,Tswartz05,POSITIVE,point
55,2022-12-05 16:25:01,"This is honestly so annoying! I want to access my own account in the app but you can’t because there’s no access to it! I am trying to sign up on the website using the same email I used for the app, but it’s making me a new account! I just want to have the same enrolled courses and progress that I have on the app!!! It’s irritating to have 2 different accounts on the website and app! BE BETTER PLEASE!!!!",1,False,PLEASE ADD ACCOUNT SETTINGS,CriticalSeagull,NEGATIVE,progress
57,2020-05-08 01:54:26,"Although this comes up when I only filter iPad supported apps, this app is literally an iPhone app port that is oriented and sized for iPhone. They’ve somehow justified that this is okay by adding a little button to expand it, which merely blows up all the pixels and feels like you’re working on an oversized, pixelated iPhone app. Which makes having it on the iPad pointless and insanely  misleading. Does this company know what the word ‘ethical’ means? Doesn’t seem like it. 
Ugh",1,False,iPad app? Think again.,MaskedVillain,NEGATIVE,point
64,2021-08-10 19:42:17,"I stopped using this years ago. Due to the format of it. It was pushing me through but I wasn’t learning due to lack of repetition. 

My girlfriend wanted to learn coding and wanted a good place to learn from. I just ruled this out.

1. The prices for pro went up. Have the site and app says I have pro and the other says I don’t.

2. The progress I had when doing this isn’t counted in %

3. The app login has issues.

4. The study material for the practice tests is bad. It’s by people trying to impress themselves or others. They’re not trying to teach.

The practice tests have nothing to do with the the practice material. And further more are written by... I don’t even know who the user is.",1,False,Issues on issues,Rlex626,NEGATIVE,progress
