Unnamed: 0,date,developerResponse,content,rating,isEdited,userName,title,sentiment,matched_stem
0,2022-01-31 03:54:08,"{'id': 28235453, 'body': 'Hey, \r\nThank you so much for the great review! If you need any assistance feel free to reach us at hello@prghub.com, we are more than happy to serve you.-PS \r\n', 'modified': '2022-02-24T11:53:51Z'}","I feel obligated to do so for this one. I’m a complete noob in IT, programming, Coding, hacking, all of it. But, always had a huge interest in learning and knowing how to completely understand, build and use a computer, network, internet, virtual machines and websites. Though I don’t think I’m anywhere near knowledgeable enough to land any entry level job into any of the related fields, this app has really made learning the basics super user friendly and easy to comprehend. I’m not sure yet how in depth some of these courses go. But, I’ve started with the basics so far and can say I’ve grasped it all and retained most well. Which has always been hard for me. I bought the pro version, so I get certificates at the end of each course. I’m sure they’re not accredited with any sought after employers or firms but stepping stones towards the knowledge needed then applied in real life as practice would likely be sufficient in a year or two with consistent effort every day, multiple times a day in this app. I’m on day 2, completed 2 courses (fundamentals and SEO), I just started my 3rd (IT Basics) and don’t plan on stopping until every course is completed. Sorry for going on and on. Figured I could share as much as possible since I won’t be leaving anymore reviews on anything else for a solid 5 years or so.",5,False,Doug Parker - Hostile Ginger,"From the guy who never reviews apps & has NO background in computers, coding or related.",POSITIVE,virtual
2,2020-11-10 05:08:14,"{'id': 19096924, 'body': 'Hi there,\r\n\r\nWe were grieved by the experience you had. We have worked hard to make everything right. We have a philosophy -Your issue is our issue and we leave no stones unturned, to get it rectified. You can always write to us at hello@prghub.com, for any assistance. We will be glad to help. - AS\n\n\r\n', 'modified': '2020-11-13T18:12:07Z'}","I bought Pro and am happy I did. A wide variety of topics, most lessons are compact and not wasting anyone’s time, and clearer explanations than other apps. However, there are a few bugs and the Grammar/English can be tough at times. To me, the point of language is to convey ideas, so it doesn’t matter if you use the wrong “your” or say ain’t, but some of these statements in here have to be read several times to make sense. Lots of typos. For bugs, my courses don’t track progress correctly. I refresh and the percentage hops around, even if I’ve completed the course. Completed courses don’t show up under completed. I’ve done six or seven and only one is there. I can’t change my name or picture even though I’m typing in my password correctly. I think the save button doesn’t work in the top right corner. Several random crashes. I am running the newest update of the app and iOS. Also, quit asking me to rate five stars after every lesson. I’ve rated 5 stars several times. Here’s 3 more",3,False,mullybigmully,"Worth it, but beware of bugs.",NEGATIVE,"progress, point"
3,2022-07-03 19:36:54,"{'id': 30725795, 'body': ""Dear Friend,\r\nWe're glad that we’ve been helpful to you. It is our goal to make your learning experience truly delightful and enjoyable. Do recommend us to your friends too! :)If you need any assistance, please reach us at hello@prghub.com and we'll be very happy to assist you!\r\n-PS\r\n"", 'modified': '2022-07-05T12:03:22Z'}","I haven’t done much, but the few courses I’ve made it through have been easy to understand and not overly technical. So many of these programming apps and courses assume that the student has a certain level of understanding and at some point they become confusing if you aren’t familiar with whatever they assume you already understand about programming. These courses don’t make assumptions, so while some of it may seem remedial, it’s also nice to know that they aren’t going to suddenly start speaking a language you don’t understand, leaving you lost and frustrated. I’ve been happy with what I’ve seen thus far and I’m excited to continue learning through the app!",5,False,Famtwins,Impressed Thus Far!,POSITIVE,point
7,2019-12-21 18:16:17,"{'id': 12525566, 'body': 'Dear Friend,\nWe apologize that your experience with us less than satisfactory. We truly want the best for our learners. Can you provide more details about your experience so we can take note of it and make improvements on our future updates? Please reach us at Hello@prghub.com so that we can assist you better.\n-PA\n', 'modified': '2019-12-22T09:32:41Z'}","I got this to learn programming languages like python and C++. I took the fundamentals course just to check it out. I already know HTML and CSS. If I didn’t I wouldn’t have been able to figure out this course at all! It asked questions related to things it did not teach. At one point it registered my answer as incorrect even though I did not choose that answer. The text is also often grammatically incorrect, with words in the wrong order. They required me to rate the app only a minute into the course and there was no way out of it. Trying to share the certificate I earned was impossible. I got the pro version because the “for life” option seemed like a good deal and this app came highly recommended from a friend. I will not be using this app. I saw that some of these problems were described a year ago, and the developer said they would fix it. They did not. I would like to get my money back, and I certainly question my friend’s judgement now!",1,False,Quellcrist,Definitely buggy and strange,NEGATIVE,point
12,2022-05-09 02:54:07,"{'id': 29729413, 'body': 'Hey,\r\nWe are very happy that you find us to be the best. Your feedback keeps us motivated to make your learning experience absolutely enjoyable. If you need any assistance, feel free to get in touch with us at h ello@prghub.com so that we can help you better. Happy Learning!\r\n-PS\r\n', 'modified': '2022-05-13T13:31:01Z'}","I’m a college student that took a photography/ web design class. I thrived up until now. The only coding experience is changing my MySpace layouts when I was in high school. My final projects are all coding assignments. After lots of panic, I stumble onto this app and after a couple free courses, my memory is jogged and I do not feel so overwhelmed by my finals. Also, the modules on the app are are short and to the point. If you suffer from ADD or whatever the case may be, I found the interactive module/ courses intriguing and extremely helpful.",5,False,Momplantx,Godsend,POSITIVE,point
16,2021-04-26 02:18:33,"{'id': 22569655, 'body': 'Hello, Apologies for the inconvenience caused to you. This is certainly not the experience, we wanted you to have. We would request you to please reach out to us at hello@programminghub.io . Rest assured, the issue will be fixed. - AS', 'modified': '2021-05-01T20:55:39Z'}","I like it, and can get through the often incorrect English grammar and word use (e.g., “Let’s Revise” ??  it should be “Let’s Review”).  I can’t find the dark mode switch which is advertised in the FAQ as being at the bottom of the settings pop-out from the Home Screen.  I can’t change my avatar.  I can’t pick my iOS voice of choice.  I can’t see all the matching items in a question...the scrolling doesn’t work, and the videos at the end of a module should be at the start. I purchased the 6th anniversary Lifetime Pro package, and I’m hoping you REGULARLY make updates to the app.  Thank you.",3,False,Stuke,"Hmmm, hoping for some app improvements",NEGATIVE,avatar
18,2019-12-04 12:43:43,"{'id': 12214828, 'body': 'Dear Panoptic,\nApologies for the delayed response.\nWe would like to thank you for taking your valuable time and giving your genuine feedback. You will be glad to know that we are constantly working on improvements.\nThe content is available offline, you have to download it once and it will stay offline till you have the app installed.\n\nFor In-App purchases, we do have limitations based on platforms hence while making the purchase on mobile platforms the pro version is active only on the platform on which the Purchase was made. However we ask our users to contact us via email to activate the Pro version on other platforms, which is done for free.\n\nThere are number of offers going on within the app, and we extend the offers on user demand. The countdown might have some issues on the implementation end, we will check and fix it ASAP, thank you for pointing it out.\n\nAs for your progress, we would  love to know more details about it to help us understand the issue and work on a solution as soon as possible. \n\nWe appreciate your Time and Efforts to help us make the app better, you can always reach us out at Hello@PrgHub.com for any queries, we will be happy to help :)', 'modified': '2019-12-04T19:19:14Z'}","This app is, an app trying to teach you programming, is riddled with errors. Both in the logic it is trying to teach you and the app it self. 

The app seldom saves your progress. So if you want to do the same lessons over and over again, sure get it. But to me this is annoying and a waste of time I don’t have. 

Second don’t buy into their possible UDAAP violating count down on your special deal price for membership. It appears to count down making you think you need to hurry and purchase but give it an hour and go back in and surprise! It’s reset. Oh also if you want web access too you need to purchase your membership on the web. Buy it through the phone and you won’t have it. They don’t tell you that. 

Everything about this app screams scam to me. There are plenty of sites teaching this stuff for either free or cheap and plenty of books in the library. I figured it may be nice to have something on my phone to jog my memory on my commute to work but boy was I wrong. I’ll just bring my kindle as well.",1,False,panoptic,This isn’t an amazing app. Don’t trust the reviews,NEGATIVE,progress
21,2019-11-11 17:28:53,"{'id': 11796938, 'body': ""Dear Friend,\nWe apologize for a less than satisfactory experience with us. We'd love to learn more about the errors you have encountered. Please get in touch with us at Hello@prghub.com with the details of the issue so that we can rectify them as soon as possible.\n-PA\n"", 'modified': '2019-11-12T10:36:36Z'}","I am enjoying using ProgramingHub so far. My only issue is that there are many typos which can make it hard to read at times. Mostly, the issue is noticeable inside of quizzes where the sentences run together. Ironically, it looks like a line break (or two) was missed during programming the quizzes. That being said, I believe the value and convenience is worth picking this app up. The developers have put a lot of thought into designing this as a mobile learning environment.",4,False,Red1chi,Well designed with some slight issues,NEGATIVE,break
22,2021-10-11 06:15:02,"{'id': 26284854, 'body': 'Hello, Apologies for any inconvenience caused to you. We would request you to please reach out to us at hello@programminghub.io . Rest assured, we will try our best to convert it to a more positive experience for you.- AS', 'modified': '2021-11-15T20:49:33Z'}","I asked for a refund because I thought I couldn’t log back in after making an account. I initially thought I made an account because I signed up with Apple. Turns out I could merge accounts, but that wasn’t clear. I now would like to keep the $35 special vs paying $600 because unlike many other apps this breaks down information by going into details. I’d appreciate if customer service would reach out to me to make sure I only pay $35 for pro.",3,False,Ronda!Ronda!Ronda!?,Should make their customer service easier to reach,NEGATIVE,break
36,2019-10-30 06:27:28,"{'id': 11559952, 'body': 'Dear Friend,\nWe are truly delighted to know that your experience with us has been great. It really helps us keep ourselves motivated to continuously improve our content and serve our learners better. If you need any help, feel free to get in touch with us at Hello@prghub.com and it will be our pleasure to assist you!\n-PA\n', 'modified': '2019-10-30T16:38:28Z'}","I’m currently attending a coding boot camp and am using this app to augment and reinforce the material from the course. So far it’s been a great resource for me. Lessons are broken into short segments that I’m able to fit in to short moments of free time, while on break at work, on the bus, with my morning coffee etc. The material is clear and concise. Highly recommended for anyone looking to get into programming.",5,False,Ryan in pdx,A great intro to programming,POSITIVE,break
