Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_stem
47,3852343a-1225-4e8f-8e5b-4090070b8ae4,Muhammad Rayan,https://play-lh.googleusercontent.com/a-/ACB-R5TO8uXjqocWznZEHa0vIzaSbX_vV86yBjsXLlAO,"One of the best apps I was transitioning into c# I just wanted to see the synatx quick sometimes , the thing with this app is it lets you go through the modules any time , while other apps , you'll have to progress.",5,0,1.14.0,2023-02-22 04:17:21,,,POSITIVE,progress
62,2851cea2-2bbe-42c7-84bc-16cb24a423c9,C.L. Cowell (CriLiC),https://play-lh.googleusercontent.com/a-/ACB-R5QDgXmBgFjkIhiwGt4_PH6sRNk0n6qu6lOLMGnUKw,Pleeeeeeeaaaaaase make this app less complimentary and more a fully adapted UI of the web version? I'm so frequently on the move I'd so love to get more practise done! But you're only giving me revision 😞 I just want 5 minutes of progress every so often to keep up the habit. We pay you for that much...,3,0,1.14.0,2023-02-14 20:39:26,,,NEGATIVE,"habit, progress"
204,75a74bd6-c6bd-484f-93b4-e856a012fe60,Faeryn Savage,https://play-lh.googleusercontent.com/a-/ACB-R5TfasuwVC4CrPjd269ps3d8auOK80gllUqvXtlDhg,"Love the company, not a fan of the app. Doesn't really sync up to progress on the web version.",2,0,1.14.0,2022-11-14 22:03:47,,,NEGATIVE,progress
220,e5aaf503-13d1-46b4-ba4a-ffaabac6b5a7,Kelvis Nkambule,https://play-lh.googleusercontent.com/a-/ACB-R5TL_Z1iXbHFjxZEsDDScMshNmyW1mvM83oK11_eIQ,"layout on point, information straight forward intuitive and easy to understand.",5,0,1.14.0,2022-11-06 08:59:06,,,POSITIVE,point
245,d83109b8-77df-40c3-a07c-ee9859327f9c,Emilio Alonzo,https://play-lh.googleusercontent.com/a-/ACB-R5TDkYBLUE1ako67Kg5HQXYnLVd11u_0Hp2ONdqvOQ,This app has been helping me practice coding on my phone! Rather than going on social media I open up this app whenever I have free time.,5,1,1.14.0,2022-10-23 21:04:14,,,POSITIVE,social
250,7998844a-0bd9-41f3-9f30-1bdbc7d0e896,Jennifer M,https://play-lh.googleusercontent.com/a-/ACB-R5SWlsrshn2UbSJ8wWOT2o2tvR8Aj2M94ZPYxtD_dA,"Can only sign up with google or facebook. Oh, and if signing up with google account, which is signed in on same device, still asks for the password instead of sending verification email. The whole point of signing up/in with google was to not have to remember all these flipping passwords!",1,0,1.14.0,2022-10-19 01:31:08,,,NEGATIVE,point
261,47937342-9b51-4a75-b60a-84ebbe8e4ab2,Ṣẹwà,https://play-lh.googleusercontent.com/a/AGNmyxZPzYSFUkTD0mUONDg5p1a5QgR3olnbQo4_KAB-kA=mo,"As a beginner, the first lesson was quite tasking. Didn't seem so beginner friendly or maybe I started from the wrong point.",3,0,1.14.0,2022-10-10 04:34:34,,,NEGATIVE,point
294,e6af42c4-3a58-4af3-84b6-baf6dee025b7,michael nelson,https://play-lh.googleusercontent.com/a-/ACB-R5QStSaMWUxBktxxjvreWMcxUOkzwGHxGXKGPLdq,"Okay but needs work. Everytime you start ""from the beginning"" it's never the same course and I don't like that very much. I would prefer a structured platform with very clear levels of progress and an ability to go back and learn the basics again to sharpen up on those details.",3,22,1.14.0,2022-09-23 12:28:43,,,NEGATIVE,progress
310,eca6b6c1-723b-4e54-8564-4aa79fd4baaf,Darkhost,https://play-lh.googleusercontent.com/a-/ACB-R5QCI5ZSB1PkkSmfzRTyD6rnuKeHYi1hJ8xIsoriTz4,I thought to myself YAY. A mobile IDE to do EXACTLY what I do on the PC but on the go. I was EXTREMELY disappointed beyond measure. This application is useless. If this application cost $0.25 to use. I'd tell people to save their money. For some reason I don't want to delete the app. But I'm not going to use it for a long time. The only purpose this icon does on my phone is remind me to use the website at all. And I'm probably going to find something else to use instead.,1,0,1.14.0,2022-09-12 23:20:57,,,NEGATIVE,point
333,d71ba3f4-7bbb-497f-b824-cf85b90c462f,chaerish powell,https://play-lh.googleusercontent.com/a-/ACB-R5Q_k-F5iLd84ZrrQlRrQZ3YYLEc2Y8h9F5jxsaxCQ,"I was hoping for the full version since I paid for the subscription. I was led to believe that I could actually practice on the go, that is not the case. It's more of a study tool. Since I don't always have my laptop with me, I figured I could download the app to my tablet or phone and continue to do the lessons. It was disappointing to find out that I couldn't. I give two stars for the review content. Practice makes perfection.",2,7,1.14.0,2022-08-27 20:21:09,,,NEGATIVE,point
