Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_stem
13,b23078fd-5f78-4cd8-81f8-716df7bcb010,Daniel V Legaspi (eL LakWHATchero),https://play-lh.googleusercontent.com/a-/ACB-R5QuNxSxvgJXjAnYI-YftbbaGbS_JNgMQb_8RlQLlw,Amazing. Straight to the point.,5,0,4.7,2023-01-19 07:36:01,,,POSITIVE,point
16,c8141611-a756-4085-a457-194edf7c57b5,Gamer yt,https://play-lh.googleusercontent.com/a-/ACB-R5RIdffL8j58292QiW9GJloOEw4zNbk56YDN8mVSXA,"I started using this app. I love it, i hope i dont get dissapointed",5,0,4.7,2023-01-02 06:24:38,,,POSITIVE,point
20,bb9ceccb-5127-4e23-9b4f-2144574509cd,Tom Darlington,https://play-lh.googleusercontent.com/a-/ACB-R5Qw0xibq1hleoArDbv6J_587NWPI13hkWMGZ1a-,Would give it 5 stars... But it's missing a couple key features imo. The ability to set reminders. High level overview of progression. Both would go a long way to motivating more studying!,4,0,4.7,2022-12-03 23:31:16,,,POSITIVE,progress
33,9736e26c-0bbe-4e46-ba4f-4a33a3e027b0,Muhammad Fawaz,https://play-lh.googleusercontent.com/a-/ACB-R5S1tWhXoQF-wOC35EDXFyd2-xyfhVQIleTGrKAcrQ,"I DID learn some things :) overall a passable experience, with some room for improvement: some explanations feel incomplete and even at the end of the lesson I'm still somewhat lost. There is a bit too much handholding in the exercises, which allowed me to complete a lot of them without really having to think. The relevance of some of them were also iffy. As pointed out, the bookmark doesn't work as expected and you cannot scroll through completed exercises to review. Still, thank you :)",3,15,4.7,2022-09-16 07:23:13,,,NEGATIVE,point
99,474ff625-ca0f-41d3-b815-5ce80487d096,R VAISHNAVI,https://play-lh.googleusercontent.com/a-/ACB-R5Td09C2SZBz2FXalZPVvR8JhSZttqnIH3b7yeGu,Its a very nice app Not much ads Easy to use Good lessons and challenges 😊😊👌👍,5,0,4.6,2021-11-06 08:26:53,,,NEGATIVE,challeng
257,e245a5ed-eff7-4a12-baba-498ba52d28c4,Courtney Paige Davis,https://play-lh.googleusercontent.com/a-/ACB-R5TjSiMFCxXdyougx8k9ugAhu5bvY9obB7a-ONMfrw,I love how to the point it is with the theory. The working examples really help.,5,1,4.6,2020-05-09 10:59:33,,,POSITIVE,point
292,00977a88-5018-4ab9-827b-656dd6eff20f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,It's a very good app bit I wish it could have an little more challenge. And never forget that programing/coding is all about problem solving.,4,13,4.6,2020-03-19 18:02:06,,,POSITIVE,challeng
297,4546b653-e8d3-4a77-8927-e350a790c5a6,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Great app, it could be more straight to the point giving more concepts at once, instead of very small pieces, however I understand it may be better like that for complete beginners.",5,24,4.6,2020-03-02 18:03:29,,,POSITIVE,point
328,ae5cd074-c904-4ef2-9f29-2948aa8c6df8,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Easy to learn and i like the extra challenges when you buy pro,5,0,4.6,2019-11-16 14:13:06,,,POSITIVE,challeng
335,d224f239-e658-4067-928a-d96f98e7a58d,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,It's great! They give you a small selection of text to read then give you a coding challenge every couple of readings to test what you read. Makes it really easy to practice your coding step by step!,4,17,4.6,2019-10-31 22:46:39,,,POSITIVE,challeng
356,7c4709b2-48ec-4de3-8c80-1d191bd50fa8,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,I have currently only done 3 of the many java script challenges and i must say it is incredible unlike other apps that teach you to program (mimo) it gives you every thing you need to start coding for free. Thanks to the developers of this app for making it.,5,2,4.6,2019-08-30 07:12:26,,,POSITIVE,challeng
398,f71ef34f-a285-4dd7-9fce-d53278cb830e,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Amazing app for beginner coders. Funny and easy to follow.Make sure you uprade to pro for the extra challenges, it is totally worth the money.",5,0,4.6,2019-06-26 04:44:09,,,POSITIVE,challeng
435,81dcba2b-467c-4684-828e-2706bd6adc91,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,First time I ever used such an app. but I'm having a blast. I love a challenge and I'm probably looking at a side hobby or even a career of sorts.,5,0,,2019-05-10 10:33:35,Thanks for your review Elieser! It's so great to hear you're diving into a hobby or career in coding!,2019-05-11 20:50:04,POSITIVE,challeng
450,00d192ff-1522-47ee-8336-9e980b7ae717,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,excellent for beginner level! nice UI and challenging questions. Amount of ads is low this app really focuses on learning!,5,0,4.6,2019-04-23 09:13:34,,,POSITIVE,challeng
454,31a6becf-0c38-44c0-821c-3054b3adecea,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,love the simplicity and minimalistic design of this app beside of its night mode(it's a must have) and it's tiny lessons and challenges. totally worth to pay,5,0,4.6,2019-04-16 16:08:26,,,POSITIVE,challeng
479,63236c1c-cf73-4e92-afea-f53dcc58cc96,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Really good but it needs to have a sync function so that you can keep track of your progress and lessons on all devices and using Google account.,4,1,4.6,2019-03-18 16:02:40,,,POSITIVE,progress
516,45bcee5b-ec81-4e76-a311-16b9e2f2e905,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"loved the app but then woildnt letbme upgrade for some reason, very disappointed",1,14,4.6,2019-01-26 15:15:15,"Hi,

Could you please email us at support@upskew.com, we'll be able to diagnose any issues relating to purchasing the upgrade.

Thanks!",2019-01-26 22:34:56,NEGATIVE,point
