Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_stem
84,c7b94cfe-b979-4dac-b85b-627faa58b9fe,Sakshi Shinde,https://play-lh.googleusercontent.com/a-/ACB-R5Rpz1jH8SiypeTip7vsSrwMBTWm6E0440p2ipDkuA,This app is very easy to understand the Python. And the explanation of each point gave very proper way. And this app is helpful for me to improve myself in python Programming language.,1,1,pythonx_1.2.3,2023-03-05 07:31:54,"Hi Sakshi, if you like the app, could you please give us more stars?",2023-03-08 09:02:25,POSITIVE,point
240,4e5cb6b7-e870-4e0c-8fed-15b0ca81c7b6,Kgopotso Mogano,https://play-lh.googleusercontent.com/a-/ACB-R5RdTE_vEXkVOhAh0-HuKfjZLq-qNyRGIDtMoKSI7A,"Love it!, it's quite effective in getting you started on coding asap. It even covers RDBMS briefly but I use them like I got a full course...to some extent. I definitely give it a YES! Beginners paradise",5,4,pythonx_1.2.2,2023-01-29 12:02:42,We have already fixed this issue. Please update your app on Google Play store and try again.,2023-01-03 15:30:48,POSITIVE,parad
340,d358cfe1-9073-45ee-82c2-b79a06d2a545,Eric,https://play-lh.googleusercontent.com/a-/ACB-R5RcWwijJr541jn-RHMKXFZ-bPJoT94rd3y8yOA0SKc,What is the point of this app if it's not hands on?,1,0,pythonx_1.2.2,2023-01-08 10:07:13,"Hi Eric, can you please share which features you find difficult to use? Please contact us at hello@codingx.app.",2023-02-22 03:07:25,NEGATIVE,point
355,1359e78c-6074-496b-a8ac-960b32945d32,Avanti Fugetaboutit Montana,https://play-lh.googleusercontent.com/a-/ACB-R5Sq_7QURXUQczgNMFN5kFu2EjtiNRpcd3JQSgZThq8,"Id have given the 5 start easily cause its great at explaining the python language and the exercises are simplified enough that a novice like me can understand and use. Only thing is that, I passed a section and it was offering me PRO for 9.99 instead of the 19.99, but when I clicked on it to get the offer, it closed and when I reopened the app it was back to the 19.99 offer. Idk what happen but u was disappointed.",4,1,pythonx_1.2.2,2023-01-05 20:01:02,"Hi Avanti, we are really sorry for the trouble. You can write to us at hello@coding.app for any assistance. We would love to help you.",2023-02-22 02:40:41,NEGATIVE,point
361,7779f749-ae03-4b21-9526-971740f41307,Laura,https://play-lh.googleusercontent.com/a/AGNmyxafaN6I4mYGpVXNcoH5yhwLmheETnVs550tibBd=mo,"I was really enjoying the app itself, despite a few weirdly worded phrases, but it won't progress beyond comparison operators without paying for the full version. Edit: after the developer's response, I'm even more disgusted. They claim to charge a small fee so that ""we can get best and updated content"" but can't even use proper grammar, which shows their attention to detail is lacking--something ironically essential for programming.",1,81,pythonx_1.2.2,2023-01-04 14:33:27,"Dear User, we are extremely sorry for the inconvenience. We charge a small fee so that we can get best and updated content for you and other users.
Apologies for the same, will it be possible for you to share the screenshots, we would be happy to accept it and make changes. Please share the same on hello@codingx.app",2023-01-04 15:48:24,NEGATIVE,progress
375,8d857470-ddb7-4ef7-b0c5-b09ef863f213,Christopher Watkins,https://play-lh.googleusercontent.com/a/AGNmyxYoYqS7wAq9A10yuroBxhgh0mPFMGTsewUz5Jhy=mo,This app is great but it strings you along only to slap a 20 dollar price tag to continue. Very disappointing,2,0,,2023-01-01 19:51:59,"Dear User, we are extremely sorry for the inconvenience. We charge a small fee so that we can get best and updated content for you and other users. If you have feedback or suggestions, please write to us at hello@codingx.app. We would love to hear from you!",2023-01-03 15:43:36,NEGATIVE,point
397,10f84baf-5670-49d8-9d06-7deda69a8e1d,Ayesha Irfan,https://play-lh.googleusercontent.com/a-/ACB-R5QN07ZL0vaBeU6eERprBl-IVCAWyK4MfymnmP1zng,Nice way to learn python. Everything is in easy wording and with a step by step progress.,5,0,pythonx_1.2.2,2022-12-29 00:43:24,,,POSITIVE,progress
420,2cf0b705-9d10-4f30-a23d-0d521d398fd0,Amin Khosravi,https://play-lh.googleusercontent.com/a-/ACB-R5Te_1ee4YbbqlcaPHB84DxtmlqQSPrWyZeuxJxxfA,"I have problem with loging in, in just my second try, and there was no way to inter to the program! Firs course was great and I get disappointed",2,0,,2022-12-24 16:30:45,"Hi, we would like to fix this. As we don't have your email address, can you please write to us at hello@codingx.app so that we can help you better. We look forward to your email.",2023-01-03 15:43:23,NEGATIVE,point
425,e1883736-c048-43ae-8da6-a120cee3ee4d,Siva Reddy,https://play-lh.googleusercontent.com/a-/ACB-R5SDL4meVyBNuODMQZwyAQgigrdIYeBBeueQXA-QPLg,App is good. But suddenly some point of time not able to procced futher blocked stating need to have premium. It's not good sign at least would have mentioned earlier that we need premium to continue entire content. Deleting app.,1,4,pythonx_1.2.2,2022-12-24 09:29:24,"Hi, we are extremely sorry for the inconvenience. To help you with this, we would like to know your feedback in detail. Kindly write to us at hello@codingx.app. We will help you at the earliest.",2023-01-03 15:26:18,NEGATIVE,point
499,f8bd8468-c6d4-4338-9fca-7283ec63448d,Kevin Clausen,https://play-lh.googleusercontent.com/a/AGNmyxaP-mtwbKTrXXAP_I32ncK5VKgZVp_qbrmfxh_f=mo,So far fun and eazy I think I'm going to like this review as I'm completing test is still awesome. I'll keep you posted as I progress more,5,0,pythonx_1.2.2,2022-12-10 14:19:58,,,POSITIVE,progress
