Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_stem
32,1e5c1b4c-bdf8-470c-9d45-1677c3c2a26b,K.K. Namish,https://play-lh.googleusercontent.com/a-/ACB-R5TpLWKspa7K4nSw_d5LAKJb77FJtgXo-ZmtHWqPhho,"There is a bug. I started with ""Web Development"" career path and finished only ""HTML Basics"". Then opted out of the career path and started ""SQL"" career path. When visited Web Development career path, i see my progress as 80%. But I have finished only two modules (HTML Basics, SQL Basics).",3,0,3.121,2023-03-24 16:50:50,,,NEGATIVE,progress
49,0d599d4d-e201-4147-9db0-2aa21a813a74,Sushma Waghmare,https://play-lh.googleusercontent.com/a/AGNmyxYjLRW0QkexNFdjtQtY6DooRhtptVeqEo-DaVdfYgE=mo,it's really such a great experience with the mimo coding app! I'd made a great in coding as the faster you code the faster you will understand and get progressed! I had mastered the Python Lang in just 15 days !,5,0,3.121,2023-03-24 10:26:42,,,POSITIVE,progress
86,444ebf8c-3f71-4401-bcd3-8788d1c213be,Seif Eddine,https://play-lh.googleusercontent.com/a-/ACB-R5TL3KW8HlqHNNds2QQYJrXq-Lrm5gKtsqO4VzpV,"I'm here to learn programming languages, not to play Score Hero or Candy Crush. This heartbreaker is very upsetting",1,0,,2023-03-23 09:08:34,,,NEGATIVE,break
119,be3f6346-92e1-449a-bb81-1bc4cbf1e555,Vinitaa Ranjan,https://play-lh.googleusercontent.com/a-/ACB-R5RAO-18APXKWIwPlPsphw7HtrqNROFT8gADHsc-xg,"The app is great for computer language learning. But, I don't want to participate on the leaderboard at all times, and sometimes I just want to take a break for a few days without spoiling my streak. Plus there are certain concepts that are not explained deeply.",2,0,3.121,2023-03-22 10:35:56,,,NEGATIVE,"streak, leaderboard, break"
122,2d5e91da-3415-4230-b7b0-375191ba6000,Fetandrey Greenlight,https://play-lh.googleusercontent.com/a/AGNmyxYLGQeVBSi0isOsg0QyKjNa3Me5ixoF-Zy3G5ro=mo,"After the latest restyling I've encountered a few cases of text being cut off in task descriptions. For example, the name of color you need to enter in a CSS rule gets cut off, and all you can do is only try to guess it which is likely to result in a mistake and loss of hearts. Update: another update, still not fixed. Removing another star, since progressing without losing lives is impossible, but the devs don't seem to care. Update 2: again update, again not fixed. Minus another star",2,18,3.121,2023-03-22 07:59:36,,,NEGATIVE,progress
127,75e36ade-083b-4261-8fd2-43a8c5d8478a,Tipe Donke,https://play-lh.googleusercontent.com/a-/ACB-R5Qx97VFxrFEqK912maXJu8crNAdagivvyiCCLxFkg,I my opinion this app is fine at teaching coding but I think pro user and normal user should use different leaderboard since pro players have an advantage in getting point because they have unlimited life's and other bonuses,4,0,3.120,2023-03-22 06:57:22,,,NEGATIVE,"leaderboard, point"
177,6098b71a-ea73-4f76-83ed-9430cae04eef,The HandProject,https://play-lh.googleusercontent.com/a-/ACB-R5TNW9eQiy2SEGdtRw644a-ynDK0G3zpZptm96BU,"if you do not know how to code this app is a great starting point. It really sticks to the basics, and explains most stuff in 3 to 6 straight forward sentences. I recommend this if you think you can invest 10 to twenty minutes a day into comprehending it.",5,0,3.120,2023-03-21 02:57:38,,,POSITIVE,point
182,b9e1f083-b8ea-4c6a-89ee-97ec674f32a6,lowe Tingua,https://play-lh.googleusercontent.com/a-/ACB-R5Tpkz6IWlx7J6m8VPQwU_wt2Be7zpkFhxLNdPmV,To all beginers reading this feddback on my experience with this apk as a data scientist i'll advice you to search for books if truelyprogramming minds to you cause all here is alike to school grounds (No real practice or real points being mentioned),3,0,3.120,2023-03-20 20:00:46,,,POSITIVE,point
201,41a7817e-b3f6-4c43-8792-a82793ce84c1,Rama Guru,https://play-lh.googleusercontent.com/a-/ACB-R5QzNMT6V283gU8-C_QZyiJUsSEQnncND1VSJGYFXg,a good one to understand your basics and have a strong lay in your foundation of the most demanded coding languages in the modern world....Try this app it actually worth spending time effectively on this instead of on some games or social media,5,0,3.120,2023-03-20 00:54:58,,,POSITIVE,social
282,e0dbb997-3bbc-438c-9467-85e221c0af24,Mr. Gutta Grimey,https://play-lh.googleusercontent.com/a/AGNmyxZx-OPX4uUyXULWZeEn5aojLaaj_iX0fU65bm4O=mo,Did you wake up and choose violence? This app is so aggressive with the upsell! I tried it for free for 20 minutes and was asked to subscribe four times. I liked the heart aspect until I lost all my hearts and had to buy some more with the coins that I just made to finish the lesson only for the app to force me out of the lesson as in quit the lesson and lose my progress.,1,1,3.120,2023-03-18 02:22:07,,,NEGATIVE,progress
324,d107a69d-542c-42c5-924f-86db0c9e5cce,Grace Young,https://play-lh.googleusercontent.com/a-/ACB-R5RQVsfi0_sf69nX6tFL10wfbZQBpUlsyennnLneNLk,"Amazing study guide. Very easy-to-operate, extremely user-friendly. I am enjoying learning to code. Great coding practices and challenges.",5,0,3.120,2023-03-17 00:05:18,,,POSITIVE,challeng
328,5d40fa25-513c-4d88-978d-bb3c9d8b221d,Alvira Khan,https://play-lh.googleusercontent.com/a-/ACB-R5QOJyHsEhAL4A9iWhK2PXMoQP4R3ua7Vv46R8y0lyg,"I love this app but in this app few features only for subscription , this part was disappointed me☹️😞",4,0,3.103.1,2023-03-16 18:06:33,,,NEGATIVE,point
376,beb74a94-c99a-47c3-9ce0-c6161b591765,Karthikeya P,https://play-lh.googleusercontent.com/a-/ACB-R5Qpr94K5u-8CAphpttBIjlbNGZnal0Gctu5J_I3Ag,"Very good app to learn basics of Html, Css, Python, Java Script, SQL required for web development. I am enjoying it so far. They have also leaderboard to track daily progress. It is free to use app for learning but pro users have lot of other benefits.",5,0,3.120,2023-03-15 10:37:27,,,POSITIVE,"leaderboard, progress"
