Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_synonym
3615,4f83a69d-7f73-43c9-911d-3757bc122659,David Akhagbemhe,https://play-lh.googleusercontent.com/a-/ACB-R5Q4rBP0gCYTkommQaPeNenkfmp10VbpbS18-unx,Nice app. Thumbs up to the developer,5,0,,2022-11-02 02:05:04,,,POSITIVE,Thumbs up
5034,2e602588-45e6-468e-b610-05b543af241a,Prateek Kumar,https://play-lh.googleusercontent.com/a-/ACB-R5T6poFQhw_X4ID-w3DyuZqxqZHkiLsUvC_AqIJ0,"Love it. Feedback=""Awesome"" print='feedback'",5,0,3.96,2022-09-28 06:12:52,,,POSITIVE,Feedback
5816,174a3968-3aea-494f-92ab-a5ea87315f31,Pulse Dravo,https://play-lh.googleusercontent.com/a/AGNmyxa0g9FKJMlumw-grIqsTK2__KMN2ib_HaVAm0o=mo,Motivational and cool,5,0,3.94,2022-09-10 12:44:26,,,POSITIVE,Motivation
6784,2aadea12-66be-4764-8db3-c0b282a48cfe,Afaediomo Ibara,https://play-lh.googleusercontent.com/a/AGNmyxaDfp8y13hmNU--aJn4V8xhemmZB0P7qOhp-Ep-=mo,Breaks down coding for beginners. It's amazing.,5,0,3.88.1,2022-08-16 15:25:54,,,POSITIVE,Breaks
9439,58e98b4a-92ba-4d42-9dc4-74af9f5b5248,Alexander Hilarius Fuad F,https://play-lh.googleusercontent.com/a-/ACB-R5Q5GzuN2nMG76ZZJrLqdrajJpIU8EnhZD-d_ovt,Online Course with Gamification. Great.,5,0,3.79,2022-05-17 22:09:33,,,POSITIVE,Gamification
13537,4569e756-e72f-474e-ac46-2025df49b52c,Samuel Clifford (SPY Inc),https://play-lh.googleusercontent.com/a-/ACB-R5SP6MvMCc2xb746aivvSsxzp7ngVWXWGD3O6FkWwA,Breaks everything down to it's simplest form. Nice app,5,0,3.56.1,2021-11-23 08:40:32,,,POSITIVE,Breaks
15783,30baad13-e34a-4766-9aed-64e59dc6814d,Voice Chewota,https://play-lh.googleusercontent.com/a/AGNmyxZI29tff0LgLNerZqYpKW1_CUKjNtZYCpT8Xti5=mo,I'm now leaning how to code and web developing for my carrier Goals,1,0,3.47,2021-09-12 09:46:10,"Thank you! Feedback like yours keeps us going. And feedback like yours keeps us looking for things we can improve, too. If you can think of something that'd make learning to code on Mimo better, please tell us at feedback@getmimo.com. High fives!",2021-09-17 05:03:01,POSITIVE,Goals
16981,d6fe44f8-f258-4d0a-8953-a8d27124008f,Autumn Hammer,https://play-lh.googleusercontent.com/a-/ACB-R5QUSwREP9oZXZyjRVpBWikzDyxEKefJPhBoQv95fg,"Breaks down lessons into bit-sized pieces that are easy even for a beginner like me! Very much like Duolingo, but for coding. I love this app!",5,1,3.45.2,2021-08-11 23:44:27,,,POSITIVE,Breaks
17245,0b876256-1118-4993-8f15-235c4adc33ff,Flora Lawar,https://play-lh.googleusercontent.com/a-/ACB-R5RyucSLQljLJhT2fb48i3WGcHIMB_LnxYrLuKp-SQ,Lovely. Just the perfect app for learning. Enjoying it a lot. Thumbs up Mimo💛💛,5,0,3.40,2021-08-05 04:04:58,,,POSITIVE,Thumbs up
18618,884c41af-984c-4d04-aee7-046abf05929b,J Hart,https://play-lh.googleusercontent.com/a/AGNmyxYnnqCaA0wzPhrfE58BqL1lO9itvwDwQtGxfmUq=mo,"Just started, so a newbie to Python, but I already love this app! They make it fun and easy to learn, unlike the days of old learning monotonous code. Thumbs up with this app!",5,3,3.40,2021-07-07 00:41:04,,,POSITIVE,Thumbs up
19135,9c4ffa5a-dd23-499e-aae1-d2169edf6b96,Sanjay Ragavendra,https://play-lh.googleusercontent.com/a/AGNmyxbMzdJnztfh_0NLJOGkm0OhibisW9xA2Ptu-eCM=mo,very impressive app.... it has a Ranking system like in games....,5,0,3.39.1,2021-06-29 02:38:42,,,POSITIVE,Ranking system
21284,d6321c1f-d8ad-4b33-93f7-ab9893f8815c,Erica Isla,https://play-lh.googleusercontent.com/a/AGNmyxaNt5DLPVautNqXxbRYUjmZuL2KDsKeJcKNQfYx=mo,I have just started using this app as someone who doesnt know anything about coding or programming and so far I'm loving the app. It manages to break down information into the simplest forms and I'm finding things I used to think were complex are really not that complex after all. Thumbs up to Mimo!,5,17,3.34,2021-05-22 09:19:01,,,POSITIVE,Thumbs up
21788,836d3409-17f8-4279-9192-9724e1374ce2,Katherine Currera,https://play-lh.googleusercontent.com/a-/ACB-R5RSFrM5SrytpCd5FqZfPEkaYeI3KVgYgLMgCWtUtjE,"Breaks it down perfectly! Don't need to be a genius to figure it out, great app. I absolutely love it.",5,0,3.32,2021-05-11 16:58:40,,,POSITIVE,Breaks
23137,58774d5a-1597-4659-92e3-ced65be42fb2,Al-ameen Olajide,https://play-lh.googleusercontent.com/a-/ACB-R5QezYTa4-MM3208-QhXr16RLPzNzO2H0LsnI3nWXg,A very good learning appp.Thumbs up,5,0,3.28,2021-04-09 13:31:57,,,POSITIVE,Thumbs up
23420,edc262d0-083f-4d21-bfd2-8a2e7a780d34,David Igah,https://play-lh.googleusercontent.com/a/AGNmyxbOBAP0-yO-5xWB798iKMtrPgnHqQVigKj9Co5_=mo,Great App! Learning coding has never been easier. Thumbs up to the developers.,5,0,3.27,2021-04-02 20:58:32,,,POSITIVE,Thumbs up
27117,f3e70041-fa0b-459c-af8f-274945c5160d,terry becker,https://play-lh.googleusercontent.com/a/AGNmyxbVI7eMahhUs7-KPArXJJP4L7LbwrankWWLN_U9=mo,Breaks programming down to very simple increments,5,0,3.19,2021-02-04 07:46:41,,,NEGATIVE,Breaks
31262,e983031f-6075-4480-bd77-4e2667e73696,Behruz Sodiqov,https://play-lh.googleusercontent.com/a-/ACB-R5TFHzNN25J9g7EPMwQTMHM09ealSHeLwhOl9_18KA,Very handy to use. Thumbs up,5,0,3.10,2020-11-25 12:58:28,,,POSITIVE,Thumbs up
37733,dfa28fbe-3ce1-476e-80a3-9ae24a36533b,Richard Allen,https://play-lh.googleusercontent.com/a-/ACB-R5QT-GZ9w5F1LiFDmWAEDPLAGReUOt_Les3TWuhqXf4,"Very buggy interface. Characters that disappear or get overwritten, cursor often jumps back to the start of the line. Often won't accept exclamation from the keyboard, need to use the special mimo character keyboard. Often tells me I'm offline when I have full bar 4G connection. Just done the python course so far, quite a few errors in the content and questions. The last lesson on classes is full of mistakes. Overall a good learning app but needs a lot of work resolving bugs content errors",3,47,2.34,2020-09-04 04:50:32,,,NEGATIVE,Character
42066,d0a6f6ed-330e-48cd-99b0-ec063aee1c3e,Hari Mukul Sagar,https://play-lh.googleusercontent.com/a-/ACB-R5T_DrY437wle5dkl-CO46IjY4DTObLRTRdDSVWd7cE,"Great UX, UI. Gamification of the course really improve the engagement factor.",5,1,2.29,2020-08-01 03:15:50,,,POSITIVE,Gamification
43861,5005f609-43c5-4f9c-9502-52c51bd49496,Fnord Gwar,https://play-lh.googleusercontent.com/a-/ACB-R5SLhH12bYzqjCnfiTJdzOeQWNOcjHVZiU-K3TxpNw,Thumbs up,5,0,2.26.1,2020-07-13 12:12:14,,,POSITIVE,Thumbs up
46109,aca30d5b-d038-4657-9c02-bf2fbfa0550c,Kelli Workman,https://play-lh.googleusercontent.com/a/AGNmyxa_W3ovTtSOcPdVBCaMZL_mX5HThgzmKJpzm18u=mo,Many opportunities to practice each skill - Thumbs up!,5,0,2.24,2020-06-21 23:18:58,,,POSITIVE,Thumbs up
48781,d0b75f36-b36d-498e-9651-c99d74899427,Simon Orwin,https://play-lh.googleusercontent.com/a-/ACB-R5QHmlHQCpR1POKoq4jWuDfRdp7gHv8aF6J0ufDm,"Looks great and really easy to use and fundamental learning day by day. Tasks are good and motivational as you complete piece by piece. Mobile app is fantastic, room for improvement in the web version but concept born for flexible learning on the go, so being better on mobile is probably best. All in all a great app",5,2,2.20,2020-05-23 16:50:13,,,POSITIVE,Tasks
48968,c0549f56-17da-418a-81ad-34838ee74921,Afolabi Boluwatife,https://play-lh.googleusercontent.com/a-/ACB-R5RYkErncF1V4DnTdkeRFzvKjH5cH_le6H8a43i1KQ,This app is one of the best educative app I've ever soon. Thumbs up,5,0,2.19.2,2020-05-21 12:45:35,,,POSITIVE,Thumbs up
50571,39c0d9a7-65ee-4a37-adee-35902a3c0d76,Tayo Idowu,https://play-lh.googleusercontent.com/a/AGNmyxaO1aw5FB3uzj7SMgJRutNml2-Tffw97jCeLj2-=mo,This is very easy to follow and learn quickly. Thumbs up Mimo.,4,0,2.17.1,2020-05-03 11:39:10,,,POSITIVE,Thumbs up
51908,84048a7b-9317-4d51-a839-4c36b7c21f2c,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Gamification + education = good product Really like it :),5,0,2.14.1,2020-04-19 06:55:56,,,POSITIVE,Gamification
51952,43cd04ce-09ec-4493-bf39-c53d06d4d3e0,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"So far I am enjoying it more everyday. Easy to learn, makes you love coding more. Motivation and patience will get you to where you want to go with this app.",5,0,2.11,2020-04-18 20:12:40,,,POSITIVE,Motivation
52736,1c449305-2007-4bf6-a5f5-aa935d7ed3d7,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Great app,I would give 5 stars but sometimes I type the code correct and it's says ' try again' and 'see solution' and 'see solution' doesn't change nothing inside the code. Other than that great ap for learning how to code.. Thumbs up for the effort.. 👍👍👍",4,2,2.14.1,2020-04-11 10:54:45,,,POSITIVE,Thumbs up
53077,ab446ff7-203e-4676-8294-58ad8ff7bc02,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Thumbs up,5,0,2.13.1,2020-04-07 19:10:37,,,POSITIVE,Thumbs up
54196,d3023636-1754-4943-a648-e6d6fdd87fcb,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Awesome app. I would of have given it five stars but that would be a lie. They should consider in-built keyboards with all associated sign symbols easily accessible as some of our keyboards are not meant for this.! Otherwise it's epic. Thumbs up guys👍,4,2,2.11,2020-03-27 19:22:57,,,POSITIVE,Thumbs up
54548,7b53bcaf-9bfe-405c-86db-3dd379cf97d4,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Amazing app. Breaks down how to code step by step so anyone can learn.,5,2,2.11,2020-03-23 16:23:37,,,POSITIVE,Breaks
54557,ffc76eac-7f61-4ceb-bd9a-0f63c4f9a4b3,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"As a coding virgin looking for something to do during the global lockdown due to Covid-19, I'm having a great time with this app. It's teaching me a lot, without making me feel dumb. Thumbs up, would recommend.",5,0,2.11,2020-03-23 14:17:01,,,POSITIVE,Thumbs up
55045,35d5af8e-7377-430e-af47-be5489616771,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Excellent and easy to use. Breaks down knowledge in understandable terms.,5,1,2.10.0,2020-03-14 20:56:42,,,POSITIVE,Breaks
57996,13aa8e1d-ceff-4dce-83ac-d98814510a19,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Nice app. Thumbs up to its developers.,5,0,2.1.2,2020-01-02 23:28:14,,,POSITIVE,Thumbs up
58562,73f4ef1d-efdf-48b0-afb9-a3bcf8515476,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,I enjoy every bit of the teaching process. Its so easy and flexible. Thumbs up to the inventors of this app.,5,0,2.1.1,2019-12-21 02:25:27,,,POSITIVE,Thumbs up
61324,0ba7d659-b50e-4663-aa4c-56fe6b86d923,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Breaks it down quite simply. Easy and simple design.,4,0,2.0.3,2019-10-22 13:18:49,,,POSITIVE,Breaks
63165,75d5cae8-eee1-4891-ae3f-cafc75b9eca6,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sense this is an area of study that I'm very interested in, it's worth it to me. Thumbs up.",5,0,2.0.2,2019-10-03 13:33:12,,,POSITIVE,Thumbs up
65332,18442bc7-cca7-418e-83e3-ad12df35d49a,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Thumbs up from me.I really enjoy learning to code.,5,0,2.0,2019-08-21 17:48:58,,,POSITIVE,Thumbs up
65644,97b7fe52-cc9e-4a52-a4c5-05b0712cfc25,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Complaining about an app being not free 🤦‍♂️. You can test all the stuff out and then maybe pay for the Premium if you like it! WHY TF ISNT AN APO ALLOWED TO BE PAID??? So now the other things. I like how it's made. I can easily practice and learn programming. Everything is there. It's easy to understand. The Daily Missions are sometimes not understandable,4,0,,2019-08-15 14:28:11,,,NEGATIVE,Missions
68926,1100ee32-9f1c-468a-9e26-aa0c5f7be22f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Cool! ... Motivational experience!,5,0,1.5.5,2019-06-15 17:04:52,,,POSITIVE,Motivation
69266,b8f41d70-6c1d-4c73-af56-bbeaf212e020,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"This app is very good with people just getting into coding such as myself, to help understand the fundamentals and the basics of coding with the addition to the different types of coding that they apply to. Thumbs up !!!",5,0,1.5.5,2019-06-12 12:21:51,,,POSITIVE,Thumbs up
