Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_synonym
1050,465256fd-9fe6-4619-80af-306225f4f895,Mama Hringngen,https://play-lh.googleusercontent.com/a-/ACB-R5TwY_xp4Yme6LJqIEn6cWwmvon3F0NKIUmnzKHJpA,The idea of this app is Great and it gives me Motivation.But the problem is i can use only one time.when i close the app and reopen the app.the app cannot load and always showing loading and i need to redownload it to use the app.,1,0,,2022-12-29 19:54:03,"Dear Mama,

We sincerely apologize for the inconvenience caused. Sometimes the content can take some time to download. If after a while the app still won't play, please clear the app data on your device's settings or kindly consider reinstalling the app. If the issue persists, please reach us at hello@prghub.com


",2022-12-29 11:05:39,NEGATIVE,Motivation
1432,5663a007-7184-4cf4-9868-a792079f863a,Frank Ofomukoro,https://play-lh.googleusercontent.com/a-/ACB-R5SmZIf9g7hQpvhDMPd2irm8xILOXqJC0XMyaLXR,Easy and simple ways to learn computer programming from the basics. I highly recommend this app for those willing to learn coding as a beginner or master their craft in coding. Thumbs up👍,5,0,,2022-11-25 16:43:27,"Dear Friend
Thank you! Your feedback is important to us. Please continue supporting us so we will always have a reason to keep improving our content and make your learning experience an enjoyable one. If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-",2022-11-26 12:39:14,POSITIVE,Thumbs up
3670,c5169a59-27fe-429c-bbc7-ba6ea10ddbbf,Collins Musiime,https://play-lh.googleusercontent.com/a/AGNmyxa3m_Z5n4HHK7uJB15Gv4CAm1srZ4D8Ka5ziLfF=mo,Programming Hub is the best mobile application used to write clean codes I have ever known. Thumbs up! You are doing too good of a job,5,0,5.1.53,2022-06-25 20:14:32,"Dear Friend
Thanks for the awesome review, We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you. For any assistance do not hesitate to reach us out at Hello@prghub.com, we would be very happy to support you.
-PS",2022-06-26 11:12:30,POSITIVE,Thumbs up
3676,84381bd2-e5c8-4918-9aba-d6281f62429f,Segun Solomon,https://play-lh.googleusercontent.com/a-/ACB-R5RaIAJ4Vi5b20FHnbi73JuKn9kxYkdlb0HeIzdfPg,"The best app for basically learning any programming-related course. Thumbs up, Programming Hub.",5,0,5.1.47,2022-06-25 13:19:54,"Dear Friend
We are very happy that you find us to be the best. Your feedback keeps us motivated to make your learning experience absolutely enjoyable. If you need any assistance, feel free to get in touch with us at Hello@prghub.com so that we can help you better. Happy Learning!
-",2022-06-25 13:21:46,POSITIVE,Thumbs up
3720,cfb62291-956c-4d72-87e2-99b1a1837978,Wmiru 8,https://play-lh.googleusercontent.com/a-/ACB-R5SOtPa1spgZisq3Q1bUoSjh2ILdRNnDL1szm8M4EA,This app is amazing. It's really impress me when they add kivy tutorial. Also they had certificates course. What next? Live tutorial? Live chat? Or Competition? The developer really put their efforts in this app. I'm pay for this app. Take my money.,5,1,5.1.53,2022-06-23 02:35:10,"Dear Friend
We are truly delighted to know that your experience with us has been great. It really helps us keep ourselves motivated to continuously improve our content and serve our learners better. If you need any help, feel free to get in touch with us at Hello@prghub.com and it will be our pleasure to assist you!
-",2022-06-23 04:37:47,POSITIVE,Competition
8197,7498918a-59df-4472-a365-546871fb24c8,Anuoluwapo Owolabi,https://play-lh.googleusercontent.com/a-/ACB-R5Rt5ysdO-G1B764mN3T_WEbs9uVwJrs8_PK8moJjQ,It's a really nice app and am learning a lot from it. Would be getting the pro definitely. Thumbs up for you guys 👍,5,0,5.1.47,2021-09-14 18:59:58,"Dear Anuoluwapo
Thanks for the awesome review, We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you. For any assistance do not hesitate to reach us out at Hello@prghub.com, we would be very happy to support you.
--JS",2021-10-23 10:43:41,POSITIVE,Thumbs up
12795,843f515b-1464-42fc-a10f-47c5ab4892ce,Mario T,https://play-lh.googleusercontent.com/a/AGNmyxY_5fXu6LYMkL4qLI7el-YYyQ5YBWVauZoT28GN=mo,Thumbs up for your team,5,0,5.1.39,2021-02-19 12:39:23,"Dear Friend
Thank you! Your feedback is important to us. Please continue supporting us so we will always have a reason to keep improving our content and make your learning experience an enjoyable one. If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-JP",2021-02-27 12:31:08,POSITIVE,Thumbs up
13052,41cfa8e6-9943-41c9-9a9d-b2a1e5079c87,xxx J9 xxx Janine,https://play-lh.googleusercontent.com/a-/ACB-R5Rkee4bq6ZWJ_EjkmL_008CqEjSt59cRK4grusE,Brilliant from beginners up... quick. Fun. Rewarding byte size chunks. Recommended. Certifiable skills.,5,0,5.1.38,2021-02-09 12:24:45,"Dear Friend
Thank you! Your feedback is important to us. Please continue supporting us so we will always have a reason to keep improving our content and make your learning experience an enjoyable one. If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-JP",2021-02-09 21:24:25,POSITIVE,Rewarding
13208,c2db2723-a11c-4ec2-b6ad-8c31b5518d75,Teo Zakes,https://play-lh.googleusercontent.com/a/AGNmyxY6DZNXz4Vsa_hqq9mfbBDWeM2yLUcG6Sl_-hsb=mo,Thumbs up very cool,5,0,5.1.37,2021-02-02 09:39:53,"Dear Friend
We are very happy that you find us to be the best. Your feedback keeps us motivated to make your learning experience absolutely enjoyable. If you need any assistance, feel free to get in touch with us at Hello@prghub.com so that we can help you better.
-JP",2021-02-08 12:52:01,POSITIVE,Thumbs up
14278,4cbbf66a-5529-4367-bd99-ebe72ad6fe60,Yamsikan Yoganathan,https://play-lh.googleusercontent.com/a-/ACB-R5R3kkcrY8Kv27rQGUGhZ_aBOJ8pr6wbuSFnZQljcl8,Awesome app to learn about coding Thumbs up 👌,5,0,5.1.35,2020-12-24 12:39:40,"Dear Yo_
We are very happy that you find us to be the best. Your feedback keeps us motivated to make your learning experience absolutely enjoyable. If you need any assistance, feel free to get in touch with us at Hello@prghub.com so that we can help you better.
-JP",2020-12-25 12:16:27,POSITIVE,Thumbs up
