Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_synonym
8621,c2676bd9-265c-4d90-8c6f-99a006b23359,Audrick Mwabah,https://play-lh.googleusercontent.com/a-/ACB-R5Rfa1hfZe7fmKISDJXTcxghvGgeJhA1BlYe3AtnMQ,Best app for learning web development and programming... Its a must have. Thumbs up to all SoloLearn team,5,0,4.6.1,2022-05-07 01:27:00,,,POSITIVE,Thumbs up
9183,06d7203b-a1b9-450c-803f-754c5a9176c8,Yasir Arafath,https://play-lh.googleusercontent.com/a-/ACB-R5R-RdRvzDTyKc9ffgoRoCmVuMkTozzxkfWEpSstaw,Motivational learning app,5,0,4.16.0,2022-04-20 14:40:25,,,POSITIVE,Motivation
10125,4bdb826e-f430-45cf-bb15-eb8e08a49020,Kyla Gordon (Kyla G),https://play-lh.googleusercontent.com/a-/ACB-R5TYcnNjxew4c0W1JJfAkPYyVv0FqyAJwds2BMEZIA,"Very well put together and easy to learn through. Simple ways of teaching, accurately. I love that you can do practicals as well. Teach yourself any code language. Rewarding certificates issued after completing a course. Points for completing courses and more. I highly recommend this app for self-teaching.",5,15,,2022-03-17 08:44:29,,,POSITIVE,Rewarding
12242,439a0d11-c1f1-4da0-aaa6-fb01adbd2cc9,Libuseng Morake,https://play-lh.googleusercontent.com/a-/ACB-R5TdN8oVHEN7F0MJSzLbUEYoVMf0DvpRPFSUm-bfFQ,"Please Add more courses for python in finance. Thumbs up to SOLOLEARN App developers,you're indeed amazing and you deserve lifetime achievement award. 🤩😁😍#anybodycanlearncoding.",5,0,4.10.0,2022-01-09 08:03:56,,,POSITIVE,Thumbs up
15002,87d10681-85bf-4f06-96ff-091ca9fe646a,magfoo (pearls),https://play-lh.googleusercontent.com/a/AGNmyxaYQlL5jvn_rvdZ2MW0TVe-ksxoZDYxo44GEMM0KA=mo,Loving it. Breaks it down into easily digested chunks,5,0,4.8.5,2021-09-14 08:02:37,,,POSITIVE,Breaks
16315,d30b1e37-59ca-4467-9037-52f578544f26,Ifunanya Iloh,https://play-lh.googleusercontent.com/a-/ACB-R5RY3VIPD_cw2vsG8qz4-4cb33ajmxuVSi87iV8nEA,My login difficulty is rectified and app works as fine as it used to. Thumbs up.,5,4,4.8.0,2021-07-19 06:47:59,"Hello,
Thank you very much for updating your review.
Enjoy Sololearning!",2021-07-19 07:38:15,POSITIVE,Thumbs up
18245,8c49c3ae-5273-42e1-b7d3-1bf8f735e28a,Hannah D. Adefalujo,https://play-lh.googleusercontent.com/a/AGNmyxajRW05iHETU_vFzS0UXAGgeDq3WWyGxV6PU2NB=mo,It's a good app for learning language programming. Thumbs up to the developer.,4,0,4.6.2,2021-04-16 13:42:37,,,POSITIVE,Thumbs up
18374,77ff4736-7c4a-45fc-bed7-db05d401b2a4,agyeirichmond owusu,https://play-lh.googleusercontent.com/a/AGNmyxb2bGP3RZs5WICtxUpWuhc-nKzOGz_cL4cRKKiW=mo,The best initiative for learning how to code.Thumbs up👍,5,0,4.6.2,2021-04-09 21:40:15,,,POSITIVE,Thumbs up
20265,efb2abdb-4bd2-495d-8114-574fec05f1c0,okechukwu ejiogu,https://play-lh.googleusercontent.com/a-/ACB-R5TxR1C6Z3yq6rbUME6OXZGvZw_dFwcE252pwFAM,"Smooth learning, at your own pace. Thumbs up",5,0,4.1.0,2021-01-07 16:18:24,,,POSITIVE,Thumbs up
20420,1c48ba44-130a-4ff4-8991-fb41c4aa7a6a,Monowar Hossen,https://play-lh.googleusercontent.com/a-/ACB-R5QZde9UjRTibRU27e8eOzZ8KDkrSd2G7ecLNIvvcQ,Motivation forgive sololqrn,5,0,4.2.0,2020-12-30 09:42:59,,,NEGATIVE,Motivation
22394,3c34c244-3a4a-44b6-88d9-be51459c5761,Confidence Peter,https://play-lh.googleusercontent.com/a-/ACB-R5TbbwcO3DSM6C6IlO-OAyagA9bKlNqou3LH2HYJFsk,It is simple but deep.Breaks down every thing bit by bit which makes it fit for beginners,5,0,3.5.0,2020-10-17 20:04:33,,,POSITIVE,Breaks
23633,816e6e5e-fbc9-4983-a733-5ee922187f40,Dan Filz,https://play-lh.googleusercontent.com/a/AGNmyxaGm2eTmBAAUmPLw8E_CG0Gqa_g9LlYus9ytz7u=mo,Rewarding and challenging,4,0,3.4.9,2020-09-17 20:55:17,,,POSITIVE,Rewarding
23830,b4a36395-3d98-44d9-bda9-34b0b3ec85ad,Jasmine Ansah-Antwi,https://play-lh.googleusercontent.com/a-/ACB-R5QU81cTSYUCn88j2Ij6AXB72ovBwJnZVkB8pfXSng,To be honest this is a really good app to learn coding. You even have access to the lessons offline once you begin them. The forum for discussion is really helpful because your questions get answered and you can understand better. Thumbs up SoloLearn😁😁😁,5,0,3.5.0,2020-09-14 03:05:50,,,POSITIVE,Thumbs up
25018,a9297bd5-f99b-44e8-9824-2146437ac045,MIRACLE ADEWUMI,https://play-lh.googleusercontent.com/a-/ACB-R5Tg88nhx13y7NHjJVfSXiad1loBT-JF5DKvjxFVFQ,"It's interesting, and provides a suitable learning environment. Thumbs up!",5,0,3.4.8,2020-08-22 07:57:43,,,POSITIVE,Thumbs up
25799,c64d6209-220c-4f28-b3ef-1e0400f975d7,IT' Basi,https://play-lh.googleusercontent.com/a-/ACB-R5R7fzSRoEQfGDz2n92PtFPdJ8XtItxYJKP5xuNnFQ,Thumbs up,5,0,2.2.4,2020-08-03 07:55:55,,,POSITIVE,Thumbs up
26218,f7eb6acb-71d3-4dff-bf6a-5eeae7d76cac,Salem Tomi,https://play-lh.googleusercontent.com/a/AGNmyxY-QyRi0KQCHF3uEdavWsuwKv9YX-M1mfbzNN8t=mo,"I give it all for this app, fantastic, easy to use, coding learning has never been so made easy. Thumbs up for the developers.",5,0,,2020-07-24 06:17:30,,,POSITIVE,Thumbs up
26715,772e538a-aa7c-4f17-b029-551808722b43,Moses Mtonga (malz),https://play-lh.googleusercontent.com/a-/ACB-R5RgDuzoVwkcRdTre9StU_kNInX75aMrLYKCSCMBSw,Thumbs up to the developers 👍,5,0,3.1.3,2020-07-13 04:06:26,,,POSITIVE,Thumbs up
27818,1820787a-e8ed-40b4-884d-9a0ce229d1ea,Lucas Serral,https://play-lh.googleusercontent.com/a-/ACB-R5ToYgcbUe0acHlCgfvwLn4-j3WaZcqEqpLpSm6wPA,Great free way to start learning. I didn't purchase anything and works for me. Thumbs up!,5,0,3.4.1,2020-06-20 02:18:18,,,POSITIVE,Thumbs up
29553,abddf49e-483d-4821-91ea-e0b3eb995b58,Freshperry GH,https://play-lh.googleusercontent.com/a-/ACB-R5RREjLVv4xn1unI3g3GtBChfr8hM_aIonvWE1-Zig,"Great app, teaches me coding at my own learning pace. Thanks to SoloLearn for this great app. The most thing I like is the certificate at the end of every course. Thumbs up for SoloLearn.",5,0,3.2.4,2020-05-21 11:49:24,,,POSITIVE,Thumbs up
29939,26bc00b3-1498-4d0d-b087-e742dd514a03,Antonio Ortega-Fuentes,https://play-lh.googleusercontent.com/a/AGNmyxYQvsCuFNX7McHaDqSk4ztMkhWw2kitByP5Vo3M=mo,Quarantine Goals,5,0,3.2.4,2020-05-14 21:45:53,,,POSITIVE,Goals
31792,48a93a96-3641-4d74-a543-bc62871a764d,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Thumbs up,4,0,3.2.3,2020-04-16 15:28:25,,,POSITIVE,Thumbs up
34299,916e31dc-2a50-49c5-8ef9-81dcb0c6ab20,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,The app is really helping me in areas of web development in as much as thats why i specialized. As there are so maany other programming languages to learn feom sololearn all alone without any physical instructor. Thumbs up for the developer of this program because its more than ordinary app but school,5,0,3.1.1,2020-02-29 23:00:21,,,POSITIVE,Thumbs up
34317,ef636596-2be6-4e8c-8752-a953b704ecd8,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Enjoying this app... Thumbs up,4,0,3.1.1,2020-02-29 13:23:54,,,POSITIVE,Thumbs up
36095,3258f30f-341f-4ffc-97db-a4fe7acd0cd7,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"😍😍😍😍😍😍 Courses= 10/10 World at hand= 10/10 Friends= 10/10 Practice= 10/10 Competitive=10/10 Gamelike= 10/10 Examples= 10/10 Simplicity= 10/10 Feedback= 10/10 Helpers= 10/10 Cost= (FREE🎊) .....and so on and on and on EVERYTHING= 10/10!! Anyone poor or rich, Science-student or Arts-student, 7 years or 70 years, whoever might it be, ANYONE can master HTML, CSS, PHP, JS, JAVA, PHYTHON...100s+ with this APP and ONLY this APP itself is enough, nothing else is needed! AMAZING 😍😍😍 I LOVE IT!!!",5,0,,2020-01-21 18:56:38,,,POSITIVE,Feedback
36329,57bf1dcc-4563-4636-820a-3a5b29072383,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Splendid work on letting students learn what they want to learn. Feedbacks in lessons are extremely useful as well. Thank you, developers!",5,0,3.1,2020-01-16 23:30:03,,,POSITIVE,Feedback
38214,01386af5-d0fd-4610-9128-7de4edc2dd2a,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Good app but there are so many subjective answers for their quizzes which needs updating but the developer hasn't fixed them in years. Feedback is useless.,3,0,3.0.3,2019-12-08 10:33:16,"Thanks for your feedback!

Please let us know more information regarding your remark by contacting us via info@sololearn.com.",2019-12-10 01:53:54,NEGATIVE,Feedback
39229,021be7d8-d8c5-47da-a2cd-fc03ad6a992f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Thank you sololearn for this, i learnt these languages long time and there was no source of knowledge like this, i got into a different career but now its interesting am re-learning them easily n conviniently on my phone. Thumbs up sololearn🤙",4,0,3.0.2,2019-11-17 02:21:32,,,POSITIVE,Thumbs up
39679,5e657939-cc63-4500-9fe7-090d36d1ed2a,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Thumbs up for your amazing app. You made an effort to share coding knowledge in an enjoying way .,5,0,3.0.2,2019-11-07 06:40:50,,,POSITIVE,Thumbs up
41836,0f27ed53-e293-49ba-9dc3-ae1f08d6dd0d,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Feedback could be much better. Questions r occasionally too easy but uts free,4,0,2.4.8,2019-09-29 15:27:07,,,NEGATIVE,Feedback
42302,8ddad45e-602c-4ff3-a4d8-06069373965d,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Easy tutorials. Q&A Forum is really active. People in Solo Learn just love to share their knowledge and it's awesome. Tasks and Challenges are really helpful in improving our skill towards any Language.,5,1,2.6.4,2019-09-22 09:18:57,,,POSITIVE,Tasks
42596,358e3360-dfd0-416c-8c6a-3ae15f1dc559,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"This app is fantastic, I finally got a platform to improve my coding skills. Thumbs up to the developer",4,0,2.6.3,2019-09-18 12:24:48,,,POSITIVE,Thumbs up
43870,f00dea27-c16d-49c1-9521-054e378c3950,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"OMG!!! This app is so so so amazing😁 I have been trying to learn programming since but it seemed so boring. Now with this app as a social network of programmers and the interactive tutorial, programming is more than fun. Thumbs up to the developer of this app.",5,0,2.5.5,2019-09-02 09:10:46,,,POSITIVE,Thumbs up
44824,35743516-a0b3-4fd9-97a3-89531d649014,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,It is informative and Motivational,5,0,2.5.5,2019-08-20 12:08:43,,,POSITIVE,Motivation
